isl_rate_mbps,seed,scheduler,images_delivered,delivery_frac,utility,utility_quality,utility_tardy,utility_cost,u_min,jain,n_dropped,violation_frac,n_route_fallbacks,solve_wall_s,wall_s
1.5,44,mpc,12061602.6,0.928,42.1684,39.0014,0.0849,1.9989,0.8204,0.9986,0,0.4219,0,16.85,18.25
1.5,44,mpc-2level,12079175.1,0.9293,42.1743,39.012,0.0873,2.0012,0.8204,0.9986,0,0.3906,0,36.81,76.37
1.5,44,mpc-hier,11457047.4,0.8815,36.4905,35.5543,0.2423,1.5301,0.4232,0.9917,31,0.6719,0,5.99,6.6
1.5,44,mpc-hier-route,11710785.6,0.901,37.5648,35.5249,0.1619,1.5188,0.5813,0.9935,26,0.5938,18997,7.38,10.88
2.0,42,mpc,11782539.1,0.9198,45.8097,43.1877,0.1062,2.2041,0.7707,0.9983,0,0.4375,0,18.38,20.11
2.0,42,mpc-2level,11782539.1,0.9198,45.8097,43.1877,0.1062,2.2041,0.7707,0.9983,0,0.4375,0,39.86,87.55
2.0,42,mpc-hier,11440710.9,0.8931,41.9269,39.8387,0.1538,1.7486,0.6235,0.9934,22,0.5156,0,5.85,6.46
2.0,42,mpc-hier-route,11384937.0,0.8888,41.9483,39.6868,0.2837,1.7266,0.6675,0.994,26,0.5156,17954,6.0,8.99
2.0,43,mpc,12113413.8,0.9239,44.1112,41.2922,0.1132,2.0995,0.7862,0.9986,0,0.4688,0,18.81,20.77
2.0,43,mpc-2level,12113413.8,0.9239,44.1112,41.2922,0.1132,2.0995,0.7862,0.9986,0,0.4688,0,35.56,80.7
2.0,43,mpc-hier,11566815.2,0.8822,38.9929,37.3423,0.2436,1.6295,0.5506,0.989,30,0.6094,0,6.08,6.69
2.0,43,mpc-hier-route,11777815.6,0.8983,37.4165,37.7116,0.2269,1.6467,0.2466,0.9864,28,0.6094,18502,6.57,9.45
2.0,44,mpc,12079175.1,0.9293,42.174,39.0119,0.0875,2.0012,0.8204,0.9986,0,0.3906,0,17.41,18.77
2.0,44,mpc-2level,12079175.1,0.9293,42.174,39.0119,0.0875,2.0012,0.8204,0.9986,0,0.3906,0,36.97,78.62
2.0,44,mpc-hier,11640116.3,0.8955,37.8543,35.9374,0.1872,1.6165,0.5813,0.99,27,0.5625,0,5.94,6.5
2.0,44,mpc-hier-route,11621567.4,0.8941,37.3279,36.0941,0.2242,1.613,0.4799,0.9889,26,0.625,19006,5.68,8.17
