t_s,delivered_images,utility,backlog_bits,n_active,n_dropped
3720,2686750.7,10.1486,26914165611,18,0
3750,2729240.8,10.3027,26522940328,18,0
3780,2767619.9,10.453,26161715044,18,0
3810,2804783.4,10.6034,25800489761,18,0
3840,2839283.5,10.8026,25439264477,18,0
3870,2873783.6,11.001,25078039193,18,0
3900,2905852.6,11.1997,24730505968,18,0
3930,2937921.6,11.3981,24382972743,18,0
3960,2967791.7,11.5848,24060207751,18,0
3990,2995230.7,11.774,23751134817,18,0
4020,3022669.7,11.9521,23442061884,18,0
4050,3050711.3,12.1029,23132988950,18,0
4080,3078150.3,12.2645,22823916017,18,0
4110,3105589.3,12.4255,22514843083,18,0
4140,3133028.4,12.5858,22205770150,18,0
4170,3160467.4,12.7432,21896697216,18,0
4200,3187906.4,12.8982,21587624282,18,0
4230,3215475.2,13.0459,21278551349,18,0
4260,3240715.3,13.1781,20994246649,18,0
4290,3270812.5,13.3109,20685232519,18,0
4320,3298948.2,13.436,20398311935,18,0
4350,3327083.9,13.5588,20111391352,18,0
4380,3351518.5,13.6737,19851854885,18,0
4410,3379886.5,13.8,19562318418,18,0
4440,3408254.4,13.9254,19272781952,18,0
4470,3436622.3,14.0409,18983245485,18,0
4500,3464990.3,14.1521,18693709018,18,0
4530,3493358.2,14.2451,18404172551,18,0
4560,3514432.8,14.3284,18174636084,18,0
4590,3540137.4,14.4141,17915099618,18,0
4620,3565842.0,14.4992,17655563151,18,0
4650,3587845.5,14.572,17426026684,18,0
4680,3608223.4,14.6323,17196490217,17,0
4710,3626170.1,14.6885,16994337867,17,0
4740,3646780.3,14.7491,16762185517,17,0
4770,3667390.4,14.8098,16530033167,17,0
4800,3688000.5,14.8669,16297880817,17,0
4830,3708610.6,14.9213,16065728467,17,0
4860,3728886.1,14.9716,15837345160,17,0
4890,3746368.4,15.0142,15640424577,17,0
4920,3766514.1,15.1186,15413503993,17,0
4950,3786659.7,15.1634,15186583410,17,0
4980,3806805.4,15.2083,14959662826,17,0
5010,3826951.0,15.2531,14732742243,17,0
5040,3847096.7,15.2952,14505821659,17,0
5070,3867242.3,15.3946,14278901076,17,0
5100,3884956.8,15.4854,14079364609,17,0
5130,3907998.1,15.5879,13819828142,17,0
5160,3931039.3,15.6904,13560291675,17,0
5190,3953658.1,15.7921,13305512998,17,0
5220,3974268.3,15.8902,13073360648,16,0
5250,3992215.0,15.9858,12871208298,16,0
5280,4007498.4,16.0717,12699055948,16,0
5310,4025445.2,16.1418,12496903598,16,0
5340,4046055.3,16.2105,12264751248,16,0
5370,4066665.4,16.2731,12032598898,16,0
5400,4097573.3,14.6301,26771844571,24,0
5430,4130571.2,14.7785,26427539871,24,0
5460,4161138.0,14.9074,26096927229,24,0
5490,4194368.2,15.0387,25736314587,24,0
5520,4232692.9,15.212,25348317829,24,0
5550,4269856.3,15.4814,24968168720,24,0
5580,4302622.0,15.5995,24612787845,24,0
5610,4335387.8,15.8463,24257406970,24,0
5640,4368153.5,16.0923,23902026095,24,0
5670,4406478.1,16.3818,23514029336,24,0
5700,4444802.8,16.6711,23126032578,24,0
5730,4480231.8,16.9178,22740651703,24,0
5760,4513229.8,17.0989,22382654944,24,0
5790,4545995.5,17.2337,22027274069,24,0
5820,4578761.2,17.3678,21671893194,24,0
5850,4614422.5,17.6834,21300204377,24,0
5880,4647188.2,17.8254,20958515560,24,0
5910,4677522.8,17.9605,20630518801,24,0
5940,4705426.2,18.0799,20316214101,24,0
5970,4733329.7,18.1848,20001909401,24,0
6000,4767311.9,18.3491,19657604701,24,0
6030,4802276.5,18.6252,19318531767,24,0
6060,4832611.1,18.712,18990535009,24,0
6090,4862713.4,18.7907,18665154134,24,0
6120,4893048.0,19.0474,18353465317,24,0
6150,4926045.9,19.3059,18011776500,24,0
6180,4959043.9,19.5611,17670087683,24,0
6210,4996809.6,19.7419,17304694447,24,0
6240,5030039.8,19.919,16990389747,23,0
6270,5057943.3,20.0873,16706085047,23,0
6300,5083183.4,20.1615,16451780347,23,0
6330,5108423.5,20.277,16197475647,23,0
6360,5131000.3,20.445,15973170946,22,0
6390,5158903.7,20.6215,15718866246,22,0
6420,5181340.6,20.7436,15495349634,22,0
6450,5201254.0,20.8564,15298429051,22,0
6480,5221167.4,20.9604,15101508468,22,0
6510,5241080.8,21.0596,14904587884,22,0
6540,5260994.2,21.1546,14707667301,22,0
6570,5280907.6,21.2448,14510746717,22,0
6600,5303484.4,21.3341,14283826134,22,0
6630,5323736.6,21.421,14083089643,22,0
6660,5343417.8,21.5075,13888784943,21,0
6690,5363099.0,21.5891,13694480243,21,0
6720,5382780.1,21.6528,13500175543,21,0
6750,5402461.3,21.7165,13305870843,21,0
6780,5422142.5,21.7774,13111566142,21,0
6810,5441823.7,21.8358,12917261442,21,0
6840,5461504.9,21.8943,12722956742,21,0
6870,5481186.0,21.9527,12528652042,21,0
6900,5500867.2,22.0112,12334347342,21,0
6930,5520548.4,22.0668,12140042642,21,0
6960,5540229.6,22.1203,11945737941,21,0
