t_s,level,n_active,n_vars,n_rows,status,objective,wall_s
0,lo,8,1345,1243,optimal,3.611370293463683,0.05770075001055375
150,lo,8,1121,1249,optimal,3.6777631094202956,0.014103875029832125
300,lo,8,1121,1322,optimal,3.2441554719928565,0.015672042034566402
450,lo,8,1121,1427,optimal,2.911224119156308,0.014485625026281923
600,lo,8,1121,1543,optimal,14.555489143050567,0.5701892499928363
750,lo,8,449,1555,optimal,13.611585228856944,0.008353499986696988
900,lo,8,449,1658,optimal,12.459514816851122,0.009287709021009505
1050,lo,8,449,1757,optimal,11.216913852900895,0.008773582987487316
1200,lo,8,449,1862,optimal,8.670818454899608,0.012348708987701684
1350,lo,8,449,1986,optimal,8.576387257435504,0.008471084001939744
1500,lo,8,449,2120,optimal,7.311443737461493,0.008191959001123905
1650,lo,8,449,2266,optimal,6.4690973605617,0.00860037497477606
1800,lo,16,1793,3445,optimal,8.66239019386615,0.24016712501179427
1950,lo,16,1233,3483,optimal,6.592960426834925,0.023189749976154417
2100,lo,16,1233,3709,optimal,5.170579402908767,0.02345695800613612
2250,lo,15,1177,3639,optimal,4.314910442211111,0.023454042035155
2400,lo,15,1177,3867,optimal,3.321763425935871,0.025759542011655867
2550,lo,15,1065,4061,optimal,2.504139254002829,0.020775167038664222
2700,lo,15,1065,4229,optimal,2.1002193005384617,0.021206124976743013
2850,lo,15,1065,4359,optimal,1.5929415761130907,0.024170499993488193
3000,lo,14,1009,4052,optimal,11.950261474887517,0.14656716695753857
3150,lo,13,729,3857,optimal,11.459641864893413,0.016963540983852
3300,lo,13,729,3944,optimal,10.232555064088878,0.01713650004239753
3450,lo,11,617,3333,optimal,9.867995106646132,0.014408583985641599
3600,lo,17,1849,3743,optimal,11.264034061825347,0.27956008299952373
3750,lo,17,1289,3848,optimal,8.96108183691181,0.02884400001494214
3900,lo,17,1289,4044,optimal,7.426701719542146,0.02655737497843802
4050,lo,17,1289,4223,optimal,6.240304773516316,0.026697875000536442
4200,lo,16,1233,4267,optimal,11.884945709153833,0.04336099995998666
4350,lo,16,1009,4391,optimal,9.085950741530286,0.025291791011113673
4500,lo,16,1009,4518,optimal,7.060326944245152,0.02374895801767707
4650,lo,16,1009,4658,optimal,5.798739838371562,0.02372666698647663
4800,lo,16,1009,4724,optimal,10.158129268180096,0.04969137499574572
4950,lo,15,841,4450,optimal,9.616955115103716,0.020094415987841785
5100,lo,15,841,4545,optimal,8.340746537218008,0.018552082998212427
5250,lo,15,841,4542,optimal,6.581252934043796,0.018287459039129317
5400,lo,20,2017,4744,optimal,9.027117795018814,0.39593741699354723
5550,lo,20,1457,4706,optimal,8.005981870611274,0.02923858299618587
5700,lo,20,1457,4740,optimal,6.604226499739622,0.02756245800992474
5850,lo,20,1457,4729,optimal,6.153824672913435,0.028983124997466803
6000,lo,17,1289,3948,optimal,7.25307135765092,0.038730875006876886
6150,lo,17,1177,4049,optimal,5.426739784058258,0.023502541007474065
6300,lo,16,1121,3979,optimal,4.166669036046803,0.021074459014926106
6450,lo,16,1121,4100,optimal,3.2810758215551186,0.022909958963282406
6600,lo,15,1065,4016,optimal,13.728920927730458,0.07566312496783212
6750,lo,15,841,4047,optimal,12.825142250552663,0.015795750019606203
6900,lo,15,841,4120,optimal,9.096498603499514,0.015634374984074384
7050,lo,15,841,4192,optimal,7.965345059115366,0.016903000010643154
7200,lo,21,2073,4783,optimal,9.533691463472357,0.4573999590356834
7350,lo,21,1289,4745,optimal,8.84694987601137,0.02604291698662564
7500,lo,21,1289,4795,optimal,8.058866192898867,0.02411016699625179
7650,lo,21,1289,4867,optimal,7.2050071703941665,0.025659042003098875
7800,lo,18,1121,4630,optimal,11.586983363374587,0.03484775003744289
7950,lo,18,1009,4718,optimal,9.358574408004532,0.01731783401919529
8100,lo,18,1009,4787,optimal,7.838141991492505,0.01797904202248901
8250,lo,18,1009,4794,optimal,6.329211812944527,0.01883254200220108
8400,lo,15,841,4023,optimal,7.492992627726598,0.015973958012182266
8550,lo,15,841,4077,optimal,6.607902914559931,0.016430541989393532
8700,lo,15,841,4142,optimal,5.900192039639335,0.018761000013910234
8850,lo,14,785,3999,optimal,4.734324062563307,0.019237125001382083
9000,lo,19,1961,4518,optimal,12.971680220464684,0.24047995795262977
9150,lo,19,1289,4519,optimal,11.739249450108579,0.02741762500954792
9300,lo,18,1233,4441,optimal,10.600249333618423,0.02598658303031698
9450,lo,18,1233,4565,optimal,9.623367264803548,0.02648787497309968
