t_s,delivered_images,utility,backlog_bits,n_active,n_dropped
0,19448.9,0.1249,2067893067,8,0
30,38897.9,0.2498,2040508951,8,0
60,58346.8,0.3747,2013124834,8,0
90,77795.8,0.4996,1985740717,8,0
120,97244.7,0.6245,1958356601,8,0
150,116693.7,0.7494,1930972484,8,0
180,136142.6,0.8743,1903588367,8,0
210,155591.6,0.9992,1876204250,8,0
240,175040.5,1.1241,1848820134,8,0
270,194489.5,1.249,1821436017,8,0
300,213938.4,1.374,1794051900,8,0
330,233387.4,1.4989,1766667784,8,0
360,252836.3,1.596,1739283667,8,0
390,272285.3,1.6895,1711899550,8,0
420,291734.2,1.7829,1684515434,8,0
450,311183.1,1.8763,1657131317,8,0
480,330632.1,1.9698,1629747200,8,0
510,350081.0,2.063,1602363084,8,0
540,369530.0,2.1537,1574978967,8,0
570,388978.9,2.2411,1547594850,8,0
600,408427.9,2.327,1520210733,8,0
630,427876.8,2.4128,1492826617,8,0
660,447325.8,2.4986,1465442500,8,0
690,466774.7,2.5845,1438058383,8,0
720,486223.7,2.6561,1410674267,8,0
750,505672.6,2.7201,1383290150,8,0
780,525121.6,2.7797,1355906033,8,0
810,544570.5,2.8342,1328521917,8,0
840,564019.4,2.8843,1301137800,8,0
870,583468.4,2.9345,1273753683,8,0
900,602917.3,2.9846,1246369566,8,0
930,622366.3,3.0348,1218985450,8,0
960,641815.2,3.0849,1191601333,8,0
990,661264.2,3.135,1164217216,8,0
1020,680713.1,3.1852,1136833100,8,0
1050,700162.1,3.235,1109448983,8,0
1080,719611.0,3.2762,1082064866,8,0
1110,739060.0,3.3133,1054680750,8,0
1140,758508.9,3.3493,1027296633,8,0
1170,777957.9,3.3835,999912516,8,0
1200,797406.8,3.4177,972528400,8,0
1230,816855.8,3.452,945144283,8,0
1260,836304.7,3.4862,917760166,8,0
1290,855753.6,3.5204,890376049,8,0
1320,875202.6,3.5546,862991933,8,0
1350,894651.5,3.5888,835607816,8,0
1380,914100.5,3.623,808223699,8,0
1410,933549.4,3.6572,780839583,8,0
1440,949498.0,3.6869,758384018,8,0
1470,961653.6,3.7127,741268945,5,0
1500,973809.2,3.7378,724153872,5,0
1530,985964.8,3.7603,707038799,5,0
1560,998120.4,3.7825,689923727,5,0
1590,1010275.9,3.8025,672808654,5,0
1620,1022431.5,3.8218,655693581,5,0
1650,1034587.1,3.837,638578508,5,0
1680,1046742.7,3.8516,621463435,5,0
1710,1058898.3,3.8662,604348362,5,0
1740,1071053.9,3.879,587233289,5,0
1770,1083209.5,3.8919,570118216,5,0
1800,1114814.0,3.5541,3277010130,13,0
1830,1146418.6,3.6495,3232510941,13,0
1860,1178023.1,3.7449,3188011751,13,0
1890,1209627.6,3.8404,3143512561,13,0
1920,1241232.2,3.9358,3099013372,13,0
1950,1272836.7,4.0312,3054514182,13,0
1980,1304441.3,4.1266,3010014993,13,0
2010,1336045.8,4.2219,2965515803,13,0
2040,1367650.3,4.3168,2921016613,13,0
2070,1399254.9,4.4113,2876517424,13,0
2100,1430859.4,4.5055,2832018234,13,0
2130,1461582.4,4.5991,2788760223,13,0
2160,1490755.9,4.6919,2747684048,12,0
2190,1519929.3,4.7845,2706607873,12,0
2220,1549102.7,4.8767,2665531698,12,0
2250,1578276.1,4.9687,2624455523,12,0
2280,1607449.5,5.0589,2583379348,12,0
2310,1634771.7,5.1474,2544909702,12,0
2340,1661514.0,5.2355,2507256542,11,0
2370,1688256.3,5.3221,2469603381,11,0
2400,1714998.6,5.4073,2431950221,11,0
2430,1741740.9,5.4904,2394297060,11,0
2460,1768483.2,5.5684,2356643900,11,0
2490,1795225.5,5.6442,2318990740,11,0
2520,1821967.8,5.7181,2281337579,11,0
2550,1848710.1,5.7894,2243684419,11,0
2580,1875452.4,5.8584,2206031258,11,0
2610,1902194.7,5.9229,2168378098,11,0
2640,1928937.0,5.9818,2130724937,11,0
2670,1955679.3,6.0408,2093071777,11,0
2700,1982421.6,6.0911,2055418616,11,0
2730,2009163.9,6.1384,2017765456,11,0
2760,2035906.2,6.1854,1980112295,11,0
2790,2062648.5,6.2321,1942459135,11,0
2820,2089390.8,6.2787,1904805975,11,0
2850,2116133.1,6.325,1867152814,11,0
2880,2142875.5,6.3711,1829499654,11,0
2910,2169617.8,6.417,1791846493,11,0
2940,2196360.1,6.4627,1754193333,11,0
2970,2223102.4,6.5069,1716540172,11,0
3000,2249844.7,6.5509,1678887012,11,0
3030,2275763.9,6.5944,1642392731,11,0
3060,2300075.1,6.6368,1608162585,10,0
3090,2324386.3,6.6767,1573932439,10,0
3120,2348697.4,6.7152,1539702294,10,0
3150,2372523.1,6.754,1506155790,10,0
3180,2394403.1,6.7936,1475348659,9,0
3210,2416283.2,6.8325,1444541527,9,0
3240,2438163.3,6.8714,1413734396,9,0
3270,2460043.3,6.9089,1382927265,9,0
3300,2480019.3,6.9467,1354801153,9,0
3330,2499468.2,6.9848,1327417036,8,0
3360,2518917.2,7.0223,1300032919,8,0
3390,2538366.1,7.0583,1272648803,8,0
3420,2557815.1,7.0931,1245264686,8,0
3450,2577264.0,7.1266,1217880569,8,0
3480,2596713.0,7.1575,1190496452,8,0
3510,2616161.9,7.1884,1163112336,8,0
3540,2635610.8,7.2162,1135728219,8,0
3570,2655059.8,7.2364,1108344102,8,0
3600,2693957.7,6.5589,3528775101,16,0
3630,2732855.6,6.702,3474006868,16,0
3660,2771753.5,6.8451,3419238634,16,0
3690,2810651.4,6.9881,3364470401,16,0
3720,2849549.3,7.13,3309702167,16,0
3750,2888447.1,7.2689,3254933934,16,0
3780,2927345.0,7.4067,3200165701,16,0
3810,2966242.9,7.5436,3145397467,16,0
3840,3005140.8,7.6795,3090629234,16,0
3870,3044038.7,7.8144,3035861001,16,0
3900,3082936.6,7.9478,2981092767,16,0
3930,3121834.5,8.0804,2926324534,16,0
3960,3160732.4,8.2122,2871556300,16,0
3990,3199630.3,8.3375,2816788067,16,0
4020,3238528.2,8.4525,2762019834,16,0
4050,3277426.1,8.5653,2707251600,16,0
4080,3316324.0,8.6778,2652483367,16,0
4110,3355221.9,8.7896,2597715133,16,0
4140,3392153.4,8.9016,2545715516,16,0
4170,3428620.2,9.0115,2494370298,15,0
4200,3465087.0,9.113,2443025079,15,0
4230,3501553.7,9.2124,2391679860,15,0
4260,3538020.5,9.3104,2340334641,15,0
4290,3574487.3,9.4079,2288989422,15,0
4320,3610954.1,9.4994,2237644204,15,0
4350,3647420.8,9.5891,2186298985,15,0
4380,3683297.3,9.6784,2135784899,15,0
4410,3717333.0,9.7636,2087862695,14,0
4440,3751368.6,9.8463,2039940491,14,0
4470,3785404.3,9.9196,1992018286,14,0
4500,3819439.9,9.9784,1944096082,14,0
4530,3853475.6,10.0331,1896173878,14,0
4560,3887511.3,10.0873,1848251674,14,0
4590,3919354.8,10.1405,1803415977,14,0
4620,3950959.3,10.1934,1758916787,13,0
4650,3982563.9,10.2461,1714417597,13,0
4680,4014168.4,10.2985,1669918408,13,0
4710,4045772.9,10.3509,1625419218,13,0
4740,4076801.8,10.4036,1581730633,13,0
4770,4105975.2,10.4572,1540654458,12,0
4800,4135148.6,10.5045,1499578283,12,0
4830,4164322.0,10.549,1458502107,12,0
4860,4193495.4,10.593,1417425932,12,0
4890,4222668.9,10.6349,1376349757,12,0
4920,4251842.3,10.6768,1335273582,12,0
4950,4279631.2,10.7196,1296146842,12,0
4980,4306373.5,10.763,1258493681,11,0
5010,4333115.8,10.8064,1220840521,11,0
5040,4359419.2,10.8482,1183805326,11,0
5070,4383730.4,10.8897,1149575180,10,0
5100,4408041.5,10.9312,1115345034,10,0
5130,4431726.5,10.9733,1081996650,10,0
5160,4453606.5,11.0172,1051189519,9,0
5190,4475064.2,11.0606,1020977111,9,0
5220,4494513.2,11.1013,993592995,8,0
5250,4513962.1,11.1418,966208878,8,0
5280,4533411.1,11.1821,938824761,8,0
5310,4550782.1,11.2203,914366275,8,0
5340,4567800.0,11.249,890405172,7,0
5370,4584817.8,11.2668,866444070,7,0
5400,4621259.2,10.1927,2984896289,15,0
5430,4655294.9,10.3506,2936974084,14,0
5460,4689330.6,10.508,2889051880,14,0
5490,4723366.2,10.6653,2841129676,14,0
5520,4757401.9,10.8226,2793207472,14,0
5550,4791437.5,10.9794,2745285268,14,0
5580,4825473.2,11.136,2697363063,14,0
5610,4859508.8,11.2922,2649440859,14,0
5640,4893544.5,11.4481,2601518655,14,0
5670,4927580.2,11.6038,2553596451,14,0
5700,4961615.8,11.7592,2505674246,14,0
5730,4995651.5,11.9139,2457752042,14,0
5760,5029687.1,12.0673,2409829838,14,0
5790,5063722.8,12.2184,2361907634,14,0
5820,5097758.4,12.3689,2313985430,14,0
5850,5131794.1,12.5189,2266063225,14,0
5880,5165829.8,12.6658,2218141021,14,0
5910,5199865.4,12.8062,2170218817,14,0
5940,5233901.1,12.9402,2122296613,14,0
5970,5267358.3,13.0642,2075188887,14,0
6000,5298962.8,13.1828,2030689698,13,0
6030,5330567.3,13.3002,1986190508,13,0
6060,5359947.1,13.4104,1944823865,13,0
6090,5389120.5,13.4989,1903747690,12,0
6120,5418293.9,13.5803,1862671515,12,0
6150,5447467.3,13.661,1821595340,12,0
6180,5476640.7,13.7409,1780519165,12,0
6210,5505814.1,13.8198,1739442990,12,0
6240,5534987.6,13.8975,1698366815,12,0
6270,5564161.0,13.9747,1657290640,12,0
6300,5593334.4,14.0514,1616214465,12,0
6330,5622507.8,14.1276,1575138290,12,0
6360,5651681.2,14.2037,1534062115,12,0
6390,5680854.7,14.2768,1492985940,12,0
6420,5710028.1,14.3477,1451909765,12,0
6450,5739201.5,14.4185,1410833590,12,0
6480,5768140.5,14.4868,1370087558,12,0
6510,5794882.8,14.5513,1332434397,11,0
6540,5821625.1,14.6128,1294781237,11,0
6570,5848367.4,14.6708,1257128076,11,0
6600,5875109.7,14.7266,1219474916,11,0
6630,5901852.0,14.7823,1181821755,11,0
6660,5928594.3,14.8188,1144168595,11,0
6690,5955336.6,14.8398,1106515434,11,0
6720,5982078.9,14.8578,1068862274,11,0
6750,6008821.2,14.8757,1031209114,11,0
6780,6035563.5,14.8917,993555953,11,0
6810,6062305.8,14.906,955902793,11,0
6840,6089048.1,14.9202,918249632,11,0
6870,6115790.4,14.9344,880596472,11,0
6900,6142532.7,14.9458,842943311,11,0
6930,6169275.0,14.9569,805290151,11,0
6960,6196017.3,14.9679,767636990,11,0
