t_s,ground_station,serving_sat,serving_el_deg,src_sat,path,hops,prop_delay_ms,reachable
2430,Sao-Paulo,,,0,UNREACHABLE,,,False
2440,Tokyo,,,0,UNREACHABLE,,,False
2440,Sao-Paulo,,,0,UNREACHABLE,,,False
2450,Tokyo,,,0,UNREACHABLE,,,False
2450,Sao-Paulo,,,0,UNREACHABLE,,,False
2460,Tokyo,,,0,UNREACHABLE,,,False
2460,Sao-Paulo,,,0,UNREACHABLE,,,False
2470,Tokyo,,,0,UNREACHABLE,,,False
2470,Sao-Paulo,,,0,UNREACHABLE,,,False
2480,Tokyo,,,0,UNREACHABLE,,,False
2480,Sao-Paulo,,,0,UNREACHABLE,,,False
2490,Tokyo,,,0,UNREACHABLE,,,False
2490,Sao-Paulo,,,0,UNREACHABLE,,,False
2500,Tokyo,,,0,UNREACHABLE,,,False
2500,Sao-Paulo,,,0,UNREACHABLE,,,False
2510,Tokyo,,,0,UNREACHABLE,,,False
2510,Sao-Paulo,,,0,UNREACHABLE,,,False
2520,Tokyo,,,0,UNREACHABLE,,,False
2520,Sao-Paulo,,,0,UNREACHABLE,,,False
2530,Tokyo,,,0,UNREACHABLE,,,False
2530,Sao-Paulo,,,0,UNREACHABLE,,,False
2540,Tokyo,,,0,UNREACHABLE,,,False
2540,Sao-Paulo,,,0,UNREACHABLE,,,False
2550,Tokyo,,,0,UNREACHABLE,,,False
2550,Sao-Paulo,,,0,UNREACHABLE,,,False
2560,Tokyo,,,0,UNREACHABLE,,,False
2560,Sao-Paulo,,,0,UNREACHABLE,,,False
2570,Tokyo,,,0,UNREACHABLE,,,False
2570,Sao-Paulo,,,0,UNREACHABLE,,,False
2580,Tokyo,,,0,UNREACHABLE,,,False
2580,Sao-Paulo,,,0,UNREACHABLE,,,False
2590,Tokyo,,,0,UNREACHABLE,,,False
2590,Sao-Paulo,,,0,UNREACHABLE,,,False
2600,Tokyo,,,0,UNREACHABLE,,,False
2600,Sao-Paulo,,,0,UNREACHABLE,,,False
2610,Tokyo,,,0,UNREACHABLE,,,False
2610,Sao-Paulo,,,0,UNREACHABLE,,,False
2620,Tokyo,,,0,UNREACHABLE,,,False
2620,Sao-Paulo,,,0,UNREACHABLE,,,False
2630,Tokyo,,,0,UNREACHABLE,,,False
2630,Sao-Paulo,,,0,UNREACHABLE,,,False
2640,Tokyo,,,0,UNREACHABLE,,,False
2640,Sao-Paulo,,,0,UNREACHABLE,,,False
2650,Tokyo,,,0,UNREACHABLE,,,False
2650,Sao-Paulo,,,0,UNREACHABLE,,,False
2660,Tokyo,,,0,UNREACHABLE,,,False
2660,Sao-Paulo,,,0,UNREACHABLE,,,False
2670,Tokyo,,,0,UNREACHABLE,,,False
2670,Sao-Paulo,,,0,UNREACHABLE,,,False
2680,Tokyo,,,0,UNREACHABLE,,,False
2680,Sao-Paulo,,,0,UNREACHABLE,,,False
2690,Tokyo,,,0,UNREACHABLE,,,False
2690,Sao-Paulo,,,0,UNREACHABLE,,,False
2700,Tokyo,,,0,UNREACHABLE,,,False
2700,Sao-Paulo,,,0,UNREACHABLE,,,False
2710,Tokyo,,,0,UNREACHABLE,,,False
2710,Sao-Paulo,,,0,UNREACHABLE,,,False
2720,Tokyo,,,0,UNREACHABLE,,,False
2720,Sao-Paulo,,,0,UNREACHABLE,,,False
2730,Tokyo,,,0,UNREACHABLE,,,False
2730,Sao-Paulo,,,0,UNREACHABLE,,,False
2740,Tokyo,,,0,UNREACHABLE,,,False
2740,Sao-Paulo,,,0,UNREACHABLE,,,False
2750,Tokyo,,,0,UNREACHABLE,,,False
2750,Sao-Paulo,,,0,UNREACHABLE,,,False
2760,Tokyo,,,0,UNREACHABLE,,,False
2760,Sao-Paulo,,,0,UNREACHABLE,,,False
2770,Tokyo,,,0,UNREACHABLE,,,False
2770,Sao-Paulo,,,0,UNREACHABLE,,,False
2780,Tokyo,,,0,UNREACHABLE,,,False
2780,Sao-Paulo,,,0,UNREACHABLE,,,False
2790,Tokyo,,,0,UNREACHABLE,,,False
2790,Sao-Paulo,,,0,UNREACHABLE,,,False
2800,Tokyo,,,0,UNREACHABLE,,,False
2800,Sao-Paulo,,,0,UNREACHABLE,,,False
2810,Tokyo,,,0,UNREACHABLE,,,False
2810,Sao-Paulo,,,0,UNREACHABLE,,,False
2820,Tokyo,,,0,UNREACHABLE,,,False
2820,Sao-Paulo,,,0,UNREACHABLE,,,False
2830,Tokyo,,,0,UNREACHABLE,,,False
2830,Sao-Paulo,,,0,UNREACHABLE,,,False
2840,Tokyo,,,0,UNREACHABLE,,,False
2840,Sao-Paulo,,,0,UNREACHABLE,,,False
2850,Tokyo,,,0,UNREACHABLE,,,False
2850,Sao-Paulo,,,0,UNREACHABLE,,,False
2860,Tokyo,,,0,UNREACHABLE,,,False
2860,Sao-Paulo,,,0,UNREACHABLE,,,False
2870,Tokyo,,,0,UNREACHABLE,,,False
2870,Sao-Paulo,,,0,UNREACHABLE,,,False
2880,Tokyo,,,0,UNREACHABLE,,,False
2880,Sao-Paulo,,,0,UNREACHABLE,,,False
2890,Tokyo,,,0,UNREACHABLE,,,False
2890,Sao-Paulo,,,0,UNREACHABLE,,,False
2900,Tokyo,,,0,UNREACHABLE,,,False
2900,Sao-Paulo,,,0,UNREACHABLE,,,False
2910,Tokyo,,,0,UNREACHABLE,,,False
2910,Sao-Paulo,,,0,UNREACHABLE,,,False
2920,Tokyo,,,0,UNREACHABLE,,,False
2920,Sao-Paulo,,,0,UNREACHABLE,,,False
2930,Tokyo,,,0,UNREACHABLE,,,False
2930,Sao-Paulo,,,0,UNREACHABLE,,,False
2940,Tokyo,,,0,UNREACHABLE,,,False
2940,Sao-Paulo,,,0,UNREACHABLE,,,False
2950,Tokyo,,,0,UNREACHABLE,,,False
2950,Sao-Paulo,,,0,UNREACHABLE,,,False
2960,Tokyo,,,0,UNREACHABLE,,,False
2960,Sao-Paulo,,,0,UNREACHABLE,,,False
2970,Tokyo,,,0,UNREACHABLE,,,False
2970,Sao-Paulo,,,0,UNREACHABLE,,,False
2980,Tokyo,,,0,UNREACHABLE,,,False
2980,Sao-Paulo,,,0,UNREACHABLE,,,False
2990,Tokyo,,,0,UNREACHABLE,,,False
2990,Sao-Paulo,,,0,UNREACHABLE,,,False
3000,Tokyo,,,0,UNREACHABLE,,,False
3000,Sao-Paulo,,,0,UNREACHABLE,,,False
3010,Tokyo,,,0,UNREACHABLE,,,False
3010,Sao-Paulo,1,10.11,0,0→1→7,2,46.015,True
3020,Tokyo,,,0,UNREACHABLE,,,False
3020,Sao-Paulo,1,10.88,0,0→1→7,2,45.846,True
3030,Tokyo,,,0,UNREACHABLE,,,False
3030,Sao-Paulo,1,11.66,0,0→1→7,2,45.682,True
3040,Tokyo,,,0,UNREACHABLE,,,False
3040,Sao-Paulo,1,12.44,0,0→1→7,2,45.522,True
3050,Tokyo,,,0,UNREACHABLE,,,False
3050,Sao-Paulo,1,13.24,0,0→1→7,2,45.367,True
3060,Tokyo,,,0,UNREACHABLE,,,False
3060,Sao-Paulo,1,14.05,0,0→1→7,2,45.217,True
3070,Tokyo,,,0,UNREACHABLE,,,False
3070,Sao-Paulo,1,14.86,0,0→1→7,2,45.073,True
3080,Tokyo,,,0,UNREACHABLE,,,False
3080,Sao-Paulo,1,15.68,0,0→1→7,2,44.936,True
3090,Tokyo,,,0,UNREACHABLE,,,False
3090,Sao-Paulo,1,16.48,0,0→1→7,2,44.805,True
3100,Tokyo,,,0,UNREACHABLE,,,False
3100,Sao-Paulo,1,17.28,0,0→1→7,2,44.683,True
3110,Tokyo,,,0,UNREACHABLE,,,False
3110,Sao-Paulo,1,18.05,0,0→1→7,2,44.568,True
3120,Tokyo,,,0,UNREACHABLE,,,False
3120,Sao-Paulo,1,18.8,0,0→1→7,2,44.463,True
3130,Tokyo,,,0,UNREACHABLE,,,False
3130,Sao-Paulo,1,19.5,0,0→1→7,2,44.366,True
3140,Tokyo,,,0,UNREACHABLE,,,False
3140,Sao-Paulo,1,20.16,0,0→1→7,2,44.28,True
3150,Tokyo,,,0,UNREACHABLE,,,False
3150,Sao-Paulo,1,20.75,0,0→1→7,2,44.205,True
3160,Tokyo,,,0,UNREACHABLE,,,False
3160,Sao-Paulo,1,21.27,0,0→1→7,2,44.142,True
3170,Tokyo,,,0,UNREACHABLE,,,False
3170,Sao-Paulo,1,21.7,0,0→1→7,2,44.09,True
3180,Tokyo,,,0,UNREACHABLE,,,False
3180,Sao-Paulo,1,22.04,0,0→1→7,2,44.05,True
3190,Tokyo,,,0,UNREACHABLE,,,False
3190,Sao-Paulo,1,22.27,0,0→1→7,2,44.024,True
3200,Tokyo,,,0,UNREACHABLE,,,False
3200,Sao-Paulo,1,22.39,0,0→1→7,2,44.01,True
3210,Tokyo,,,0,UNREACHABLE,,,False
3210,Sao-Paulo,1,22.39,0,0→1→7,2,44.01,True
3220,Tokyo,,,0,UNREACHABLE,,,False
3220,Sao-Paulo,1,22.28,0,0→1→7,2,44.023,True
3230,Tokyo,,,0,UNREACHABLE,,,False
3230,Sao-Paulo,1,22.06,0,0→1→7,2,44.049,True
3240,Tokyo,,,0,UNREACHABLE,,,False
3240,Sao-Paulo,1,21.72,0,0→1→7,2,44.087,True
3250,Tokyo,,,0,UNREACHABLE,,,False
3250,Sao-Paulo,1,21.3,0,0→1→7,2,44.138,True
3260,Tokyo,,,0,UNREACHABLE,,,False
3260,Sao-Paulo,1,20.78,0,0→1→7,2,44.202,True
3270,Tokyo,,,0,UNREACHABLE,,,False
3270,Sao-Paulo,1,20.19,0,0→1→7,2,44.276,True
3280,Tokyo,,,0,UNREACHABLE,,,False
3280,Sao-Paulo,1,19.54,0,0→1→7,2,44.362,True
3290,Tokyo,,,0,UNREACHABLE,,,False
3290,Sao-Paulo,1,18.83,0,0→1→7,2,44.457,True
3300,Tokyo,,,0,UNREACHABLE,,,False
3300,Sao-Paulo,1,18.09,0,0→1→7,2,44.563,True
3310,Tokyo,,,0,UNREACHABLE,,,False
3310,Sao-Paulo,1,17.31,0,0→1→7,2,44.677,True
3320,Tokyo,,,0,UNREACHABLE,,,False
3320,Sao-Paulo,1,16.52,0,0→1→7,2,44.799,True
3330,Tokyo,,,0,UNREACHABLE,,,False
3330,Sao-Paulo,1,15.71,0,0→1→7,2,44.93,True
3340,Tokyo,,,0,UNREACHABLE,,,False
3340,Sao-Paulo,1,14.9,0,0→1→7,2,45.067,True
3350,Tokyo,,,0,UNREACHABLE,,,False
3350,Sao-Paulo,1,14.09,0,0→1→7,2,45.211,True
3360,Tokyo,,,0,UNREACHABLE,,,False
3360,Sao-Paulo,1,13.28,0,0→1→7,2,45.36,True
3370,Tokyo,,,0,UNREACHABLE,,,False
3370,Sao-Paulo,1,12.47,0,0→1→7,2,45.516,True
3380,Tokyo,,,0,UNREACHABLE,,,False
3380,Sao-Paulo,1,11.68,0,0→1→7,2,45.676,True
3390,Tokyo,,,0,UNREACHABLE,,,False
3390,Sao-Paulo,1,10.9,0,0→1→7,2,45.841,True
3400,Tokyo,,,0,UNREACHABLE,,,False
3400,Sao-Paulo,1,10.14,0,0→1→7,2,46.01,True
3410,Tokyo,,,0,UNREACHABLE,,,False
3410,Sao-Paulo,,,0,UNREACHABLE,,,False
3420,Tokyo,,,0,UNREACHABLE,,,False
3420,Sao-Paulo,,,0,UNREACHABLE,,,False
3430,Tokyo,,,0,UNREACHABLE,,,False
3430,Sao-Paulo,,,0,UNREACHABLE,,,False
3440,Tokyo,,,0,UNREACHABLE,,,False
3440,Sao-Paulo,,,0,UNREACHABLE,,,False
3450,Tokyo,,,0,UNREACHABLE,,,False
3450,Sao-Paulo,,,0,UNREACHABLE,,,False
3460,Tokyo,,,0,UNREACHABLE,,,False
3460,Sao-Paulo,,,0,UNREACHABLE,,,False
3470,Tokyo,,,0,UNREACHABLE,,,False
3470,Sao-Paulo,,,0,UNREACHABLE,,,False
3480,Tokyo,,,0,UNREACHABLE,,,False
3480,Sao-Paulo,,,0,UNREACHABLE,,,False
3490,Tokyo,,,0,UNREACHABLE,,,False
3490,Sao-Paulo,,,0,UNREACHABLE,,,False
3500,Tokyo,,,0,UNREACHABLE,,,False
3500,Sao-Paulo,,,0,UNREACHABLE,,,False
3510,Tokyo,,,0,UNREACHABLE,,,False
3510,Sao-Paulo,,,0,UNREACHABLE,,,False
3520,Tokyo,,,0,UNREACHABLE,,,False
3520,Sao-Paulo,,,0,UNREACHABLE,,,False
3530,Tokyo,,,0,UNREACHABLE,,,False
3530,Sao-Paulo,,,0,UNREACHABLE,,,False
3540,Tokyo,,,0,UNREACHABLE,,,False
3540,Sao-Paulo,,,0,UNREACHABLE,,,False
3550,Tokyo,,,0,UNREACHABLE,,,False
3550,Sao-Paulo,,,0,UNREACHABLE,,,False
3560,Tokyo,,,0,UNREACHABLE,,,False
3560,Sao-Paulo,,,0,UNREACHABLE,,,False
3570,Tokyo,,,0,UNREACHABLE,,,False
3570,Sao-Paulo,,,0,UNREACHABLE,,,False
3580,Tokyo,,,0,UNREACHABLE,,,False
3580,Sao-Paulo,,,0,UNREACHABLE,,,False
3590,Tokyo,,,0,UNREACHABLE,,,False
3590,Sao-Paulo,,,0,UNREACHABLE,,,False
3600,Tokyo,,,0,UNREACHABLE,,,False
3600,Sao-Paulo,,,0,UNREACHABLE,,,False
3610,Tokyo,,,0,UNREACHABLE,,,False
3610,Sao-Paulo,,,0,UNREACHABLE,,,False
3620,Tokyo,,,0,UNREACHABLE,,,False
3620,Sao-Paulo,,,0,UNREACHABLE,,,False
3630,Tokyo,,,0,UNREACHABLE,,,False
3630,Sao-Paulo,,,0,UNREACHABLE,,,False
3640,Tokyo,,,0,UNREACHABLE,,,False
3640,Sao-Paulo,,,0,UNREACHABLE,,,False
3650,Tokyo,,,0,UNREACHABLE,,,False
3650,Sao-Paulo,,,0,UNREACHABLE,,,False
3660,Tokyo,,,0,UNREACHABLE,,,False
3660,Sao-Paulo,,,0,UNREACHABLE,,,False
3670,Tokyo,,,0,UNREACHABLE,,,False
3670,Sao-Paulo,,,0,UNREACHABLE,,,False
3680,Tokyo,,,0,UNREACHABLE,,,False
3680,Sao-Paulo,,,0,UNREACHABLE,,,False
3690,Tokyo,,,0,UNREACHABLE,,,False
3690,Sao-Paulo,,,0,UNREACHABLE,,,False
3700,Tokyo,,,0,UNREACHABLE,,,False
3700,Sao-Paulo,,,0,UNREACHABLE,,,False
3710,Tokyo,,,0,UNREACHABLE,,,False
3710,Sao-Paulo,,,0,UNREACHABLE,,,False
3720,Tokyo,,,0,UNREACHABLE,,,False
3720,Sao-Paulo,,,0,UNREACHABLE,,,False
3730,Tokyo,,,0,UNREACHABLE,,,False
3730,Sao-Paulo,,,0,UNREACHABLE,,,False
3740,Tokyo,,,0,UNREACHABLE,,,False
3740,Sao-Paulo,,,0,UNREACHABLE,,,False
3750,Tokyo,,,0,UNREACHABLE,,,False
3750,Sao-Paulo,,,0,UNREACHABLE,,,False
3760,Tokyo,,,0,UNREACHABLE,,,False
3760,Sao-Paulo,,,0,UNREACHABLE,,,False
3770,Tokyo,,,0,UNREACHABLE,,,False
3770,Sao-Paulo,,,0,UNREACHABLE,,,False
3780,Tokyo,,,0,UNREACHABLE,,,False
3780,Sao-Paulo,,,0,UNREACHABLE,,,False
3790,Tokyo,,,0,UNREACHABLE,,,False
3790,Sao-Paulo,,,0,UNREACHABLE,,,False
3800,Tokyo,,,0,UNREACHABLE,,,False
3800,Sao-Paulo,,,0,UNREACHABLE,,,False
3810,Tokyo,,,0,UNREACHABLE,,,False
3810,Sao-Paulo,,,0,UNREACHABLE,,,False
3820,Tokyo,,,0,UNREACHABLE,,,False
3820,Sao-Paulo,,,0,UNREACHABLE,,,False
3830,Tokyo,,,0,UNREACHABLE,,,False
3830,Sao-Paulo,,,0,UNREACHABLE,,,False
3840,Tokyo,,,0,UNREACHABLE,,,False
3840,Sao-Paulo,,,0,UNREACHABLE,,,False
3850,Tokyo,,,0,UNREACHABLE,,,False
3850,Sao-Paulo,,,0,UNREACHABLE,,,False
3860,Tokyo,,,0,UNREACHABLE,,,False
3860,Sao-Paulo,,,0,UNREACHABLE,,,False
3870,Tokyo,,,0,UNREACHABLE,,,False
3870,Sao-Paulo,,,0,UNREACHABLE,,,False
3880,Tokyo,,,0,UNREACHABLE,,,False
3880,Sao-Paulo,,,0,UNREACHABLE,,,False
3890,Tokyo,2,10.64,0,0→2→6,2,45.898,True
3890,Sao-Paulo,,,0,UNREACHABLE,,,False
3900,Tokyo,2,11.59,0,0→2→6,2,45.695,True
3900,Sao-Paulo,,,0,UNREACHABLE,,,False
3910,Tokyo,2,12.58,0,0→2→6,2,45.494,True
3910,Sao-Paulo,,,0,UNREACHABLE,,,False
3920,Tokyo,2,13.62,0,0→2→6,2,45.296,True
3920,Sao-Paulo,,,0,UNREACHABLE,,,False
3930,Tokyo,2,14.71,0,0→2→6,2,45.1,True
3930,Sao-Paulo,,,0,UNREACHABLE,,,False
3940,Tokyo,2,15.85,0,0→2→6,2,44.908,True
3940,Sao-Paulo,,,0,UNREACHABLE,,,False
3950,Tokyo,2,17.04,0,0→2→6,2,44.719,True
3950,Sao-Paulo,,,0,UNREACHABLE,,,False
3960,Tokyo,2,18.29,0,0→2→6,2,44.534,True
3960,Sao-Paulo,,,0,UNREACHABLE,,,False
3970,Tokyo,2,19.6,0,0→2→6,2,44.353,True
3970,Sao-Paulo,,,0,UNREACHABLE,,,False
3980,Tokyo,2,20.97,0,0→2→6,2,44.178,True
3980,Sao-Paulo,,,0,UNREACHABLE,,,False
3990,Tokyo,2,22.41,0,0→2→6,2,44.008,True
3990,Sao-Paulo,,,0,UNREACHABLE,,,False
4000,Tokyo,2,23.9,0,0→2→6,2,43.845,True
4000,Sao-Paulo,,,0,UNREACHABLE,,,False
4010,Tokyo,2,25.44,0,0→2→6,2,43.69,True
4010,Sao-Paulo,,,0,UNREACHABLE,,,False
4020,Tokyo,2,27.03,0,0→2→6,2,43.543,True
4020,Sao-Paulo,,,0,UNREACHABLE,,,False
4030,Tokyo,2,28.64,0,0→2→6,2,43.405,True
4030,Sao-Paulo,,,0,UNREACHABLE,,,False
4040,Tokyo,2,30.25,0,0→2→6,2,43.279,True
4040,Sao-Paulo,,,0,UNREACHABLE,,,False
4050,Tokyo,2,31.83,0,0→2→6,2,43.164,True
4050,Sao-Paulo,,,0,UNREACHABLE,,,False
4060,Tokyo,2,33.34,0,0→2→6,2,43.063,True
4060,Sao-Paulo,,,0,UNREACHABLE,,,False
4070,Tokyo,2,34.72,0,0→2→6,2,42.977,True
4070,Sao-Paulo,,,0,UNREACHABLE,,,False
4080,Tokyo,2,35.91,0,0→2→6,2,42.907,True
4080,Sao-Paulo,,,0,UNREACHABLE,,,False
4090,Tokyo,2,36.85,0,0→2→6,2,42.854,True
4090,Sao-Paulo,,,0,UNREACHABLE,,,False
4100,Tokyo,2,37.49,0,0→2→6,2,42.82,True
4100,Sao-Paulo,,,0,UNREACHABLE,,,False
4110,Tokyo,2,37.79,0,0→2→6,2,42.805,True
4110,Sao-Paulo,,,0,UNREACHABLE,,,False
4120,Tokyo,2,37.71,0,0→2→6,2,42.809,True
4120,Sao-Paulo,,,0,UNREACHABLE,,,False
4130,Tokyo,2,37.27,0,0→2→6,2,42.832,True
4130,Sao-Paulo,,,0,UNREACHABLE,,,False
4140,Tokyo,2,36.5,0,0→2→6,2,42.874,True
4140,Sao-Paulo,,,0,UNREACHABLE,,,False
4150,Tokyo,2,35.44,0,0→2→6,2,42.934,True
4150,Sao-Paulo,,,0,UNREACHABLE,,,False
4160,Tokyo,2,34.16,0,0→2→6,2,43.011,True
4160,Sao-Paulo,,,0,UNREACHABLE,,,False
4170,Tokyo,2,32.72,0,0→2→6,2,43.103,True
4170,Sao-Paulo,,,0,UNREACHABLE,,,False
4180,Tokyo,2,31.18,0,0→2→6,2,43.21,True
4180,Sao-Paulo,,,0,UNREACHABLE,,,False
4190,Tokyo,2,29.58,0,0→2→6,2,43.33,True
4190,Sao-Paulo,,,0,UNREACHABLE,,,False
4200,Tokyo,2,27.97,0,0→2→6,2,43.461,True
4200,Sao-Paulo,,,0,UNREACHABLE,,,False
4210,Tokyo,2,26.37,0,0→2→6,2,43.603,True
4210,Sao-Paulo,,,0,UNREACHABLE,,,False
4220,Tokyo,2,24.8,0,0→2→6,2,43.753,True
4220,Sao-Paulo,,,0,UNREACHABLE,,,False
4230,Tokyo,2,23.27,0,0→2→6,2,43.912,True
4230,Sao-Paulo,,,0,UNREACHABLE,,,False
4240,Tokyo,2,21.81,0,0→2→6,2,44.078,True
4240,Sao-Paulo,,,0,UNREACHABLE,,,False
4250,Tokyo,2,20.4,0,0→2→6,2,44.25,True
4250,Sao-Paulo,,,0,UNREACHABLE,,,False
4260,Tokyo,2,19.05,0,0→2→6,2,44.427,True
4260,Sao-Paulo,,,0,UNREACHABLE,,,False
4270,Tokyo,2,17.77,0,0→2→6,2,44.609,True
4270,Sao-Paulo,,,0,UNREACHABLE,,,False
4280,Tokyo,2,16.54,0,0→2→6,2,44.796,True
4280,Sao-Paulo,,,0,UNREACHABLE,,,False
4290,Tokyo,2,15.37,0,0→2→6,2,44.986,True
4290,Sao-Paulo,,,0,UNREACHABLE,,,False
4300,Tokyo,2,14.26,0,0→2→6,2,45.18,True
4300,Sao-Paulo,,,0,UNREACHABLE,,,False
4310,Tokyo,2,13.19,0,0→2→6,2,45.377,True
4310,Sao-Paulo,,,0,UNREACHABLE,,,False
4320,Tokyo,2,12.17,0,0→2→6,2,45.576,True
4320,Sao-Paulo,,,0,UNREACHABLE,,,False
4330,Tokyo,2,11.2,0,0→2→6,2,45.778,True
4330,Sao-Paulo,,,0,UNREACHABLE,,,False
4340,Tokyo,2,10.26,0,0→2→6,2,45.981,True
4340,Sao-Paulo,,,0,UNREACHABLE,,,False
4350,Tokyo,,,0,UNREACHABLE,,,False
4350,Sao-Paulo,,,0,UNREACHABLE,,,False
4360,Tokyo,,,0,UNREACHABLE,,,False
4360,Sao-Paulo,,,0,UNREACHABLE,,,False
4370,Tokyo,,,0,UNREACHABLE,,,False
4370,Sao-Paulo,,,0,UNREACHABLE,,,False
4380,Tokyo,,,0,UNREACHABLE,,,False
4380,Sao-Paulo,,,0,UNREACHABLE,,,False
4390,Tokyo,,,0,UNREACHABLE,,,False
4390,Sao-Paulo,,,0,UNREACHABLE,,,False
4400,Tokyo,,,0,UNREACHABLE,,,False
4400,Sao-Paulo,,,0,UNREACHABLE,,,False
4410,Tokyo,,,0,UNREACHABLE,,,False
4410,Sao-Paulo,,,0,UNREACHABLE,,,False
4420,Tokyo,,,0,UNREACHABLE,,,False
4420,Sao-Paulo,,,0,UNREACHABLE,,,False
4430,Tokyo,,,0,UNREACHABLE,,,False
4430,Sao-Paulo,,,0,UNREACHABLE,,,False
4440,Tokyo,,,0,UNREACHABLE,,,False
4440,Sao-Paulo,,,0,UNREACHABLE,,,False
4450,Tokyo,,,0,UNREACHABLE,,,False
4450,Sao-Paulo,,,0,UNREACHABLE,,,False
4460,Tokyo,,,0,UNREACHABLE,,,False
4460,Sao-Paulo,,,0,UNREACHABLE,,,False
4470,Tokyo,,,0,UNREACHABLE,,,False
4470,Sao-Paulo,,,0,UNREACHABLE,,,False
4480,Tokyo,,,0,UNREACHABLE,,,False
4480,Sao-Paulo,,,0,UNREACHABLE,,,False
4490,Tokyo,,,0,UNREACHABLE,,,False
4490,Sao-Paulo,,,0,UNREACHABLE,,,False
4500,Tokyo,,,0,UNREACHABLE,,,False
4500,Sao-Paulo,,,0,UNREACHABLE,,,False
4510,Tokyo,,,0,UNREACHABLE,,,False
4510,Sao-Paulo,,,0,UNREACHABLE,,,False
4520,Tokyo,,,0,UNREACHABLE,,,False
4520,Sao-Paulo,,,0,UNREACHABLE,,,False
4530,Tokyo,,,0,UNREACHABLE,,,False
4530,Sao-Paulo,,,0,UNREACHABLE,,,False
4540,Tokyo,,,0,UNREACHABLE,,,False
4540,Sao-Paulo,,,0,UNREACHABLE,,,False
4550,Tokyo,,,0,UNREACHABLE,,,False
4550,Sao-Paulo,,,0,UNREACHABLE,,,False
4560,Tokyo,,,0,UNREACHABLE,,,False
4560,Sao-Paulo,,,0,UNREACHABLE,,,False
4570,Tokyo,,,0,UNREACHABLE,,,False
4570,Sao-Paulo,,,0,UNREACHABLE,,,False
4580,Tokyo,,,0,UNREACHABLE,,,False
4580,Sao-Paulo,,,0,UNREACHABLE,,,False
4590,Tokyo,,,0,UNREACHABLE,,,False
4590,Sao-Paulo,,,0,UNREACHABLE,,,False
4600,Tokyo,,,0,UNREACHABLE,,,False
4600,Sao-Paulo,,,0,UNREACHABLE,,,False
4610,Tokyo,,,0,UNREACHABLE,,,False
4610,Sao-Paulo,,,0,UNREACHABLE,,,False
4620,Tokyo,,,0,UNREACHABLE,,,False
4620,Sao-Paulo,,,0,UNREACHABLE,,,False
4630,Tokyo,,,0,UNREACHABLE,,,False
4630,Sao-Paulo,,,0,UNREACHABLE,,,False
4640,Tokyo,,,0,UNREACHABLE,,,False
4640,Sao-Paulo,,,0,UNREACHABLE,,,False
4650,Tokyo,,,0,UNREACHABLE,,,False
4650,Sao-Paulo,,,0,UNREACHABLE,,,False
4660,Tokyo,,,0,UNREACHABLE,,,False
4660,Sao-Paulo,,,0,UNREACHABLE,,,False
4670,Tokyo,,,0,UNREACHABLE,,,False
4670,Sao-Paulo,,,0,UNREACHABLE,,,False
4680,Tokyo,,,0,UNREACHABLE,,,False
4680,Sao-Paulo,,,0,UNREACHABLE,,,False
4690,Tokyo,,,0,UNREACHABLE,,,False
4690,Sao-Paulo,,,0,UNREACHABLE,,,False
4700,Tokyo,,,0,UNREACHABLE,,,False
4700,Sao-Paulo,,,0,UNREACHABLE,,,False
4710,Tokyo,,,0,UNREACHABLE,,,False
4710,Sao-Paulo,,,0,UNREACHABLE,,,False
4720,Tokyo,,,0,UNREACHABLE,,,False
4720,Sao-Paulo,,,0,UNREACHABLE,,,False
4730,Tokyo,,,0,UNREACHABLE,,,False
4730,Sao-Paulo,,,0,UNREACHABLE,,,False
4740,Tokyo,,,0,UNREACHABLE,,,False
4740,Sao-Paulo,,,0,UNREACHABLE,,,False
4750,Tokyo,,,0,UNREACHABLE,,,False
4750,Sao-Paulo,,,0,UNREACHABLE,,,False
4760,Tokyo,,,0,UNREACHABLE,,,False
4760,Sao-Paulo,,,0,UNREACHABLE,,,False
4770,Tokyo,,,0,UNREACHABLE,,,False
4770,Sao-Paulo,,,0,UNREACHABLE,,,False
4780,Tokyo,,,0,UNREACHABLE,,,False
4780,Sao-Paulo,,,0,UNREACHABLE,,,False
4790,Tokyo,,,0,UNREACHABLE,,,False
4790,Sao-Paulo,,,0,UNREACHABLE,,,False
4800,Tokyo,,,0,UNREACHABLE,,,False
4800,Sao-Paulo,,,0,UNREACHABLE,,,False
4810,Tokyo,,,0,UNREACHABLE,,,False
4810,Sao-Paulo,,,0,UNREACHABLE,,,False
4820,Tokyo,,,0,UNREACHABLE,,,False
4820,Sao-Paulo,,,0,UNREACHABLE,,,False
4830,Tokyo,,,0,UNREACHABLE,,,False
4830,Sao-Paulo,,,0,UNREACHABLE,,,False
4840,Tokyo,,,0,UNREACHABLE,,,False
4840,Sao-Paulo,,,0,UNREACHABLE,,,False
4850,Tokyo,,,0,UNREACHABLE,,,False
4850,Sao-Paulo,,,0,UNREACHABLE,,,False
4860,Tokyo,,,0,UNREACHABLE,,,False
4860,Sao-Paulo,,,0,UNREACHABLE,,,False
4870,Tokyo,,,0,UNREACHABLE,,,False
4870,Sao-Paulo,,,0,UNREACHABLE,,,False
4880,Tokyo,,,0,UNREACHABLE,,,False
4880,Sao-Paulo,,,0,UNREACHABLE,,,False
