t_s,delivered_images,utility,backlog_bits,n_active
0,19448.9,0.1311,8271572269,8
30,38897.9,0.2622,8162035802,8
60,58346.8,0.3933,8052499336,8
90,77795.8,0.5243,7942962869,8
120,97244.7,0.6554,7833426402,8
150,116693.7,0.7865,7723889935,8
180,136142.6,0.9176,7614353469,8
210,155591.6,1.0487,7504817002,8
240,175040.5,1.1798,7395280535,8
270,194489.5,1.3108,7285744068,8
300,213938.4,1.4419,7176207601,8
330,233387.4,1.573,7066671135,8
360,252836.3,1.7041,6957134668,8
390,272285.3,1.8352,6847598201,8
420,291734.2,1.9663,6738061734,8
450,311183.1,2.0973,6628525268,8
480,330632.1,2.2284,6518988801,8
510,350081.0,2.3595,6409452334,8
540,369530.0,2.4906,6299915867,8
570,388978.9,2.6217,6190379401,8
600,408427.9,2.7528,6080842934,8
630,427876.8,2.8838,5971306467,8
660,447325.8,3.0149,5861770000,8
690,466774.7,3.146,5752233533,8
720,486223.7,3.2771,5642697067,8
750,505672.6,3.4082,5533160600,8
780,525121.6,3.5393,5423624133,8
810,544570.5,3.6703,5314087666,8
840,564019.4,3.8014,5204551200,8
870,583468.4,3.9325,5095014733,8
900,602917.3,4.0636,4985478266,8
930,622366.3,4.1947,4875941799,8
960,641815.2,4.3258,4766405332,8
990,661264.2,4.4568,4656868866,8
1020,680713.1,4.5879,4547332399,8
1050,700162.1,4.719,4437795932,8
1080,719611.0,4.8501,4328259465,8
1110,739060.0,4.9812,4218722999,8
1140,758508.9,5.1123,4109186532,8
1170,777957.9,5.2433,3999650065,8
1200,797406.8,5.3744,3890113598,8
1230,816855.8,5.5055,3780577131,8
1260,836304.7,5.6366,3671040665,8
1290,855753.6,5.7677,3561504198,8
1320,875202.6,5.8988,3451967731,8
1350,894651.5,6.0298,3342431264,8
1380,914100.5,6.1609,3232894798,8
1410,933549.4,6.292,3123358331,8
1440,949498.0,6.3811,3033536073,8
1470,961653.6,6.4325,2965075781,5
1500,973809.2,6.4839,2896615490,5
1530,985964.8,6.5353,2828155198,5
1560,998120.4,6.5867,2759694906,5
1590,1010275.9,6.6381,2691234614,5
1620,1022431.5,6.6895,2622774323,5
1650,1034587.1,6.7408,2554314031,5
1680,1046742.7,6.7922,2485853739,5
1710,1058898.3,6.8436,2417393447,5
1740,1071053.9,6.895,2348933156,5
1770,1083209.5,6.9464,2280472864,5
1800,1113311.8,7.0697,13116500813,13
1830,1143414.2,7.1929,12946964346,13
1860,1173516.6,7.3162,12777427880,13
1890,1203618.9,7.4395,12607891413,13
1920,1233721.3,7.5628,12438354946,13
1950,1263823.6,7.6861,12268818479,13
1980,1293926.0,7.8093,12099282013,13
2010,1324028.3,7.9323,11929745546,13
2040,1354130.7,8.0544,11760209079,13
2070,1384233.1,8.1758,11590672612,13
2100,1414335.4,8.2965,11421136145,13
2130,1444437.8,8.417,11251599679,13
2160,1474540.1,8.5378,11082063212,12
2190,1504642.5,8.658,10912526745,12
2220,1534744.8,8.7778,10742990278,12
2250,1564847.2,8.8971,10573453812,12
2280,1594949.5,9.0161,10403917345,12
2310,1625051.9,9.1313,10234380878,12
2340,1655154.3,9.2451,10064844411,11
2370,1685256.6,9.3587,9895307944,11
