kid,depth,delivered_images,delivery_fraction,utility
0,1,117850.0,1.0,1.2156
1,1,187776.0,1.0,0.8104
2,1,117189.0,1.0,1.2156
3,1,118835.0,1.0,0.8104
4,1,247151.0,1.0,1.2156
5,1,257213.0,1.0,0.5894
6,1,267950.0,1.0,0.7226
7,1,174159.0,1.0,0.4052
8,1,256314.0,1.0,0.711
9,1,264553.0,1.0,0.708
10,1,190092.0,1.0,0.3748
11,1,210917.0,1.0,1.0136
12,1,271659.0,1.0,0.9335
13,1,226333.0,1.0,0.4052
14,1,240105.0,1.0,0.6013
15,1,294140.0,1.0,0.7941
16,1,235584.0,1.0,1.2156
17,1,138927.0,1.0,0.8104
18,1,199558.0,1.0,0.4052
19,1,130858.0,1.0,1.2156
20,1,284506.0,1.0,0.9476
21,1,293502.0,1.0,0.5966
22,1,281108.0,1.0,0.5187
23,1,193911.0,1.0,1.1697
24,1,192588.0,1.0,0.4052
25,1,195141.0,1.0,0.3948
26,1,212900.0,1.0,1.2156
27,1,187430.0,1.0,0.4052
28,1,225953.0,1.0,0.977
29,1,162473.0,1.0,1.2156
30,1,187043.0,1.0,1.2156
31,1,177496.0,1.0,1.2156
32,1,147911.0,1.0,1.2156
33,1,127950.0,1.0,1.2156
34,1,260980.0,1.0,0.4052
35,1,257385.0,1.0,1.196
36,1,194313.0,1.0,1.2059
37,1,256146.0,1.0,0.734
38,1,201121.0,1.0,0.6907
39,1,127959.0,1.0,0.4052
40,1,187923.0,1.0,1.2156
41,1,194219.0,1.0,1.2156
42,1,115839.0,1.0,1.2156
43,1,226944.0,1.0,0.8102
44,1,118113.0,1.0,0.8104
45,1,160790.0,1.0,0.7983
46,1,169500.0,1.0,0.8104
47,1,142917.0,1.0,0.4052
48,1,298534.0,1.0,0.7083
49,1,146788.0,1.0,1.2156
50,1,271135.0,1.0,0.4052
51,1,158719.0,1.0,0.8104
52,1,125256.0,1.0,0.8104
53,1,256780.0,1.0,1.1971
54,1,181837.0,1.0,0.8104
55,1,262804.0,1.0,0.2972
56,1,166858.0,1.0,0.4031
57,1,118009.0,1.0,1.2156
58,1,239354.0,1.0,0.8104
59,1,132254.0,1.0,1.2156
60,1,287611.0,1.0,0.3383
61,1,239264.0,1.0,0.7682
62,1,133242.0,1.0,0.8104
63,1,160302.0,1.0,1.2156
