t_s,delivered_images,utility,backlog_bits,n_active,n_dropped
3780,1828797.5,10.1997,27097679813,17,1
3810,1873234.5,10.3683,26917679813,17,1
3840,1917671.5,10.5314,26737679813,17,1
3870,1962108.5,10.6895,26557679813,17,1
3900,2025421.1,10.9084,26324525843,17,1
3930,2088871.9,11.1273,26090982893,17,1
3960,2133308.9,11.273,25910982893,17,1
3990,2177745.9,11.4153,25730982893,17,1
4020,2222182.9,11.5545,25550982893,17,1
4050,2269257.5,11.7092,25405606580,17,1
4080,2316733.4,11.8662,25261645478,17,1
4110,2364209.2,12.0212,25117684375,17,1
4140,2392344.6,12.1091,25033723273,17,1
4170,2420944.8,12.1986,24949762171,16,1
4200,2447113.9,12.2839,20656375006,16,2
4230,2483681.1,12.4146,20553401635,15,2
4260,2528725.9,12.5746,20426555606,15,2
4290,2573770.6,12.734,20299709577,15,2
4320,2599939.7,12.8231,20226017519,15,2
4350,2626108.7,12.9109,20152325460,15,2
4380,2633402.1,12.9303,20131787373,15,2
4410,2640695.4,12.9478,20111249285,15,2
4440,2647988.8,12.9637,20090711198,15,2
4470,2655282.1,12.978,20070173110,15,2
4500,2700326.9,13.0649,19996481052,15,2
4530,2745371.7,13.1506,19922788993,15,2
4560,2790416.4,13.2351,19849096935,15,2
4590,2833030.0,13.3164,19782250906,15,2
4620,2875643.7,13.397,19715404877,15,2
4650,2880505.9,13.4031,19701712818,15,2
4680,2885368.2,13.4086,19688020760,15,2
4710,2890230.4,13.4136,19674328702,15,2
4740,2895092.6,13.4181,19660636643,15,2
4770,2899954.9,13.4222,19646944585,15,2
4800,2921261.7,13.4843,9414989385,15,2
4830,2980144.5,13.6199,9302082375,15,2
4860,3001451.3,13.6878,9242082375,14,2
4890,3022758.1,13.7556,9182082375,14,2
4920,3044065.0,13.8235,9122082375,14,2
4950,3065371.8,13.8914,9062082375,14,2
4980,3086678.6,13.9593,9002082375,14,2
5010,3107985.4,14.0272,8942082375,14,2
5040,3129292.2,14.0951,8882082375,14,2
5070,3150599.0,14.163,8822082375,14,2
5100,3171905.9,14.2309,8762082375,14,2
5130,3193212.7,14.2988,8702082375,14,2
5160,3214519.5,14.3666,8642082375,14,2
5190,3219540.6,14.382,8627942991,14,2
5220,3221971.7,14.3887,8621096962,14,2
5250,3242221.8,14.5012,8564072651,14,2
5280,3251096.8,14.5282,8539080754,14,2
5310,3274834.7,14.6042,8472234725,14,2
5340,3298572.7,14.6797,8405388696,14,2
5370,3322310.6,14.7549,8338542667,14,2
5400,3364924.2,14.9735,23941027888,22,4
5430,3407537.9,15.199,23821027888,20,4
5460,3432202.4,15.2943,23751572447,20,4
5490,3474816.1,15.5199,23631572447,20,4
5520,3477247.2,15.5276,23624726418,20,4
5550,3521089.0,15.7922,23557880389,20,4
5580,3544827.0,15.953,23491034359,19,4
5610,3568564.9,16.1132,23424188330,19,4
5640,3592302.9,16.2729,23357342301,19,4
5670,3616040.8,16.4321,23290496272,19,4
5700,3661382.5,16.656,23193232090,19,4
5730,3686137.4,16.8033,23151531261,19,4
5760,3690999.6,16.8217,23137839202,19,4
5790,3733613.2,17.0792,23070993173,19,4
5820,3738475.5,17.0943,23057301115,19,4
5850,3823702.7,17.4773,22930455086,19,4
5880,3874502.4,17.6395,22852083155,19,4
5910,3950875.4,17.9144,22737703900,18,4
5940,4040964.9,18.2522,22604011842,18,4
5970,4090293.5,18.4656,22528525727,18,4
6000,4159076.1,18.7226,16914789145,17,7
6030,4225427.7,18.9774,16791366131,14,7
6060,4251596.8,19.0429,16724520102,14,7
6090,4277765.8,19.1069,16657674072,14,7
6120,4303934.9,19.1696,16590828043,14,7
6150,4350195.2,19.351,16467405029,14,7
6180,4382276.6,19.4467,16383909723,14,7
6210,4408445.7,19.5061,16317063694,14,7
6240,4437631.8,19.598,16233225409,14,7
6270,4460944.1,19.7419,16144424051,14,7
6300,4496551.0,19.9867,16021001037,13,7
6330,4532157.9,20.2308,15897578022,13,7
6360,4567764.8,20.4744,15774155008,13,7
6390,4603371.7,20.7173,15650731993,13,7
6420,4638978.6,20.9598,15527308978,13,7
6450,4662716.6,21.1069,15403885964,13,7
6480,4675801.1,21.2274,15340462949,13,7
6510,4688885.6,21.3476,15277039935,13,7
6540,4701970.2,21.4677,15213616920,13,7
6570,4712623.6,21.5856,15153616920,13,7
6600,4744583.8,21.8307,10279493656,13,7
6630,4765890.6,21.9578,10219493656,12,7
6660,4787197.4,22.0849,10159493656,12,7
6690,4793275.2,22.1212,10142378583,12,7
6720,4814582.0,22.2484,10082378583,12,7
6750,4814582.0,22.2484,10082378583,11,7
6780,4814582.0,22.2484,10082378583,11,7
6810,4814582.0,22.2484,10082378583,11,7
6840,4814582.0,22.2484,10082378583,11,7
6870,4821025.9,22.2897,10046086849,11,7
6900,4823457.0,22.3053,10032394791,11,7
6930,4834110.4,22.3736,9972394791,11,7
6960,4844763.8,22.4419,9912394791,11,7
6990,4855417.2,22.5102,9852394791,11,7
7020,4866070.6,22.5785,9792394791,11,7
7050,4876724.1,22.6468,9732394791,11,7
7080,4887377.5,22.7151,9672394791,11,7
7110,4898030.9,22.7834,9612394791,11,7
7140,4908684.3,22.8517,9552394791,11,7
7170,4919337.7,22.92,9492394791,11,7
7200,4929991.1,22.9883,22608025362,19,8
7230,4951297.9,23.083,22488025362,18,8
7260,4961951.3,23.1513,22428025362,18,8
7290,4983258.1,23.2459,22308025362,18,8
7320,4993911.6,23.3142,22248025362,18,8
7350,5056465.7,23.7216,22095026822,18,8
7380,5073365.0,23.7931,22015963553,18,8
7410,5086449.5,23.832,21942271495,18,8
7440,5099534.1,23.8697,21868579436,18,8
7470,5112618.6,23.9063,21794887378,18,8
7500,5194904.7,24.4991,21601195320,18,8
7530,5233110.8,24.7252,21462132051,18,8
7560,5267502.1,24.9193,21328439992,18,8
7590,5333853.7,25.4054,21194747934,18,8
7620,5400205.3,25.8909,21061055876,18,8
7650,5509170.5,26.7243,20867363817,18,8
7680,5618135.7,27.329,20673671759,18,8
7710,5695140.7,27.6088,20479979701,17,8
7740,5772145.7,27.8628,20286287642,17,8
7770,5829981.5,27.9839,20146576015,16,8
7800,5843066.0,27.9999,9874692018,16,10
7830,5856150.5,28.0143,9800999960,14,10
7860,5858720.5,28.0168,9786525720,14,10
7890,5858720.5,28.0168,9786525720,14,10
7920,5858720.5,28.0168,9786525720,14,10
7950,5878421.6,28.1124,9675569480,14,10
7980,5889075.0,28.1193,9615569480,14,10
8010,5907811.8,28.2275,9555569480,14,10
8040,5929118.6,28.3682,9495569480,13,10
8070,5950425.4,28.5089,9435569480,13,10
8100,5993039.1,28.8051,9255569480,13,10
8130,6029540.4,29.0414,9109994116,13,10
8160,6052349.4,29.1893,9041533824,13,10
8190,6073656.2,29.33,8981533824,13,10
8220,6094963.0,29.4707,8921533824,13,10
8250,6128425.4,29.723,8793073532,13,10
8280,6154273.3,29.9081,8707498167,13,10
8310,6159245.1,29.941,8693497527,13,10
8340,6159245.1,29.941,8693497527,12,10
8370,6159245.1,29.941,8693497527,12,10
8400,6206500.2,30.0539,7876297325,12,10
8430,6227807.0,30.1072,7816297325,11,10
8460,6253270.7,30.2012,7732885843,11,10
8490,6274577.5,30.2544,7672885843,11,10
8520,6298540.2,30.327,7597927771,11,10
8550,6357845.1,30.6508,7421867938,11,10
8580,6371762.0,30.6992,7352678020,10,10
8610,6403722.2,30.7927,7232678020,10,10
8640,6435682.4,30.8862,7112678020,10,10
8670,6450269.1,30.9557,7030525670,9,10
8700,6497039.6,31.439,6947114189,9,10
8730,6539653.3,31.8816,6887114189,9,10
8760,6582266.9,32.3243,6827114189,9,10
8790,6593002.1,32.3655,6767114189,9,10
8820,6607588.8,32.435,6684961839,8,10
8850,6611745.7,32.4757,6661550357,8,10
8880,6611745.7,32.4757,6661550357,8,10
8910,6618053.4,32.506,6626025189,8,10
8940,6630209.0,32.5684,6557564897,8,10
8970,6651515.8,32.699,6437564897,8,10
9000,6675253.8,32.8085,19886396599,16,11
9030,6715139.3,33.0569,19661761267,15,11
9060,6747099.5,33.2239,19481761267,15,11
9090,6779059.8,33.3864,19301761267,15,11
9120,6800366.6,33.5046,19181761267,15,11
9150,6842980.2,33.7637,18941761267,15,11
9180,6872212.4,33.9525,18777125935,14,11
9210,6893519.2,34.0606,18657125935,14,11
9240,6914826.0,34.1661,18537125935,14,11
9270,6936132.8,34.269,18417125935,14,11
9300,6971299.4,34.5217,18189067588,14,11
9330,6993068.7,34.6801,18036463097,14,11
9360,7011479.9,34.8319,17902771038,14,11
9390,7024564.4,34.9149,17829078980,14,11
9420,7037649.0,34.9976,17755386922,14,11
9450,7066713.6,35.2528,17561694863,14,11
9480,7084827.9,35.419,17429675414,14,11
9510,7095016.8,35.5056,17342291298,14,11
9540,7099879.0,35.5221,17314907181,14,11
9570,7102133.7,35.5341,17302208974,14,11
9600,7111423.7,35.6034,15045128398,13,11
9630,7166054.8,35.8417,14909763731,13,11
9660,7212824.5,36.0323,14789763731,13,11
9690,7218151.2,36.077,14729763731,13,11
9720,7276745.0,36.3487,14549763731,13,11
9750,7340665.4,36.5343,14429763731,13,11
9780,7404585.9,36.72,14309763731,13,11
9810,7439871.6,36.8773,14172843147,13,11
9840,7478981.9,37.0659,13992843147,13,11
9870,7498901.5,37.2194,13866884030,13,11
9900,7507845.3,37.2739,13826781834,13,11
9930,7510276.4,37.2793,13823358819,13,11
9960,7512707.5,37.2842,13819935805,13,11
9990,7553979.2,37.5364,13695327981,13,11
10020,7604350.7,37.8052,13571904966,12,11
10050,7670702.3,38.0671,13448481952,12,11
10080,7737053.8,38.3286,13325058937,12,11
10110,7803405.4,38.5899,13201635922,12,11
10140,7851632.2,38.8183,13129252345,12,11
10170,7856494.4,38.8331,13122406316,12,11
10200,7882663.5,38.8848,9134283103,12,11
10230,7892852.4,38.9654,9067437074,12,11
10260,7919021.5,39.0147,9000591044,12,11
10290,7949946.4,39.1228,8893098824,12,11
10320,7968357.7,39.2809,8769675809,12,11
10350,8012559.5,39.4503,8589675809,12,11
10380,8055173.1,39.616,8409675809,11,11
10410,8082444.4,39.8107,8229675809,11,11
10440,8109077.9,40.0066,8049675809,10,11
10470,8135711.5,40.2025,7869675809,10,11
10500,8135847.7,40.2035,7868908611,10,11
10530,8135847.7,40.2035,7868908611,10,11
10560,8135847.7,40.2035,7868908611,10,11
10590,8135847.7,40.2035,7868908611,10,11
10620,8135847.7,40.2035,7868908611,10,11
10650,8178461.3,40.4384,7808908611,10,11
10680,8203528.8,40.5866,7754140378,10,11
10710,8203528.8,40.5866,7754140378,10,11
10740,8203528.8,40.5866,7754140378,10,11
10770,8246142.4,40.8214,7694140378,10,11
10800,8294082.7,41.1247,24053472891,18,12
10830,8301840.6,41.2063,23990049876,17,12
10860,8309598.4,41.2867,23926626862,17,12
10890,8337747.4,41.3861,23838360750,17,12
10920,8367465.7,41.5106,23714937736,17,12
10950,8401857.0,41.7167,23591514721,17,12
10980,8434153.4,41.9151,23471041364,17,12
11010,8463693.2,42.1074,23351041364,16,12
11040,8490326.7,42.2936,23231041364,16,12
11070,8516960.2,42.4799,23111041364,16,12
11100,8548920.4,42.6771,22991041364,16,12
11130,8580403.4,42.8712,22871041364,16,12
11160,8607036.9,43.0574,22751041364,16,12
11190,8623017.0,43.1712,22631041364,15,12
11220,8632754.8,43.2584,22546198267,15,12
11250,8643408.2,43.3379,22486198267,15,12
11280,8654061.6,43.4173,22426198267,15,12
11310,8662294.5,43.4918,22366198267,15,12
11340,8667621.2,43.5602,22306198267,15,12
11370,8693816.3,43.6509,22218667170,15,12
11400,8730470.8,43.8081,20799623285,15,13
11430,8767757.7,43.9681,20619623285,14,13
11460,8805044.6,44.128,20439623285,14,13
11490,8842331.6,44.288,20259623285,14,13
11520,8868965.1,44.4575,20079623285,13,13
11550,8895598.6,44.6271,19899623285,13,13
11580,8922232.1,44.7966,19719623285,13,13
11610,8943538.9,44.9214,19599623285,13,13
11640,8965491.1,45.0631,19439936238,13,13
11670,8997451.3,45.27,19259936238,13,13
11700,9034738.2,45.5217,19019936238,13,13
11730,9072025.1,45.7733,18779936238,13,13
11760,9105649.1,45.9977,18560566011,13,13
11790,9124310.7,46.1514,18415149056,12,13
11820,9140290.8,46.2783,18295149056,10,13
11850,9156270.9,46.4052,18175149056,10,13
11880,9172251.1,46.5321,18055149056,10,13
11910,9182904.5,46.6142,17995149056,9,13
11940,9193557.9,46.6963,17935149056,9,13
11970,9193557.9,46.6963,17935149056,8,13
12000,9193557.9,46.6963,11812793344,8,13
12030,9193557.9,46.6963,11812793344,8,13
12060,9194783.8,46.7084,11805888968,8,13
12090,9205437.2,46.8136,11745888968,8,13
12120,9216090.6,46.9187,11685888968,8,13
12150,9231685.7,47.0478,11598057526,8,13
12180,9252992.5,47.2047,11478057526,8,13
12210,9274299.3,47.3615,11358057526,8,13
12240,9302050.0,47.5526,11201765791,8,13
12270,9334010.2,47.766,11021765791,8,13
12300,9336441.3,47.7778,11008073733,8,13
12330,9347094.7,47.8295,10948073733,8,13
12360,9357748.1,47.8812,10888073733,8,13
12390,9368401.6,47.9329,10828073733,8,13
12420,9382988.3,48.0055,10745921383,8,13
12450,9396072.8,48.1224,10672229325,8,13
12480,9417379.6,48.2792,10552229325,8,13
12510,9438686.4,48.4361,10432229325,8,13
12540,9460998.6,48.5983,10306567425,8,13
12570,9492958.8,48.8117,10126567425,8,13
12600,9516696.7,48.9935,22217384806,16,13
12630,9538003.5,49.11,22097384806,16,13
12660,9547502.4,49.1905,22043887108,16,13
12690,9552694.1,49.217,22014647402,15,13
12720,9555125.2,49.2258,22000955343,15,13
12750,9610823.4,49.3674,21867263285,15,13
12780,9666521.6,49.5113,21733571227,15,13
12810,9721943.5,49.654,21600268147,15,13
12840,9735028.0,49.7247,21526576089,15,13
12870,9790726.2,49.8667,21392884031,15,13
12900,9811974.3,49.9715,21299626332,15,13
12930,9827489.9,50.041,21222511259,15,13
12960,9843005.6,50.1128,21145396186,15,13
12990,9858521.2,50.184,21068281113,15,13
13020,9874036.9,50.2545,20991166040,15,13
13050,9901708.1,50.3881,20879820822,15,13
13080,9917223.7,50.4576,20802705749,15,13
13110,9932739.4,50.5267,20725590676,15,13
13140,9945287.1,50.5773,20665191123,15,13
13170,9947718.2,50.5788,20661768108,14,13
13200,9960802.7,50.6367,20598345094,14,13
13230,9973887.3,50.6946,20534922079,14,13
13260,9991404.1,50.7934,20421573619,14,13
13290,10009511.4,50.8976,20301573619,14,13
13320,10027618.8,51.0018,20181573619,14,13
13350,10038272.2,51.0533,20121573619,14,13
13380,10048925.6,51.0999,20061573619,14,13
13410,10103432.2,51.4608,19902133754,14,13
13440,10171750.5,51.9031,19694749637,14,13
13470,10251651.0,52.4051,19454749637,14,13
13500,10283611.3,52.553,19334749637,13,13
13530,10315571.5,52.698,19214749637,13,13
13560,10348703.0,52.8571,19076629356,13,13
13590,10375336.5,53.0232,18956629356,12,13
13620,10401970.1,53.1893,18836629356,12,13
13650,10423276.9,53.306,18776629356,12,13
13680,10444583.7,53.4226,18716629356,12,13
13710,10467392.7,53.5532,18639708772,12,13
13740,10494026.2,53.7193,18519708772,12,13
13770,10501784.0,53.7819,18452862743,12,13
13800,10509541.9,53.8432,9296510794,12,13
13830,10533279.8,53.8908,9229664765,12,13
13860,10535710.9,53.9005,9222818736,12,13
13890,10553595.2,53.936,9172456547,12,13
13920,10577333.2,53.9808,9105610517,12,13
13950,10610049.7,54.0621,8985610517,12,13
13980,10642009.9,54.1419,8865610517,11,13
14010,10673970.1,54.2217,8745610517,11,13
14040,10705930.4,54.3016,8625610517,11,13
14070,10737890.6,54.3814,8505610517,11,13
14100,10759197.4,54.4182,8445610517,11,13
14130,10780504.2,54.4551,8385610517,11,13
14160,10801811.0,54.4919,8325610517,11,13
14190,10823117.9,54.5287,8265610517,11,13
14220,10887038.3,54.8489,8145610517,11,13
14250,10934978.7,55.1817,8025610517,10,13
14280,10982919.0,55.5145,7905610517,10,13
14310,11030859.3,55.9738,7785610517,10,13
14340,11078799.7,56.4515,7665610517,9,13
14370,11125849.7,56.9209,7555638563,9,13
14400,11152483.3,57.0302,5347279509,9,15
14430,11179116.8,57.1395,5227279509,7,15
14460,11211077.0,57.2423,5107279509,7,15
14490,11237710.5,57.3516,4987279509,7,15
14520,11264344.1,57.4609,4867279509,7,15
14550,11290977.6,57.5702,4747279509,7,15
14580,11317611.1,57.6758,4627279509,7,15
14610,11339106.1,57.7638,4521749525,7,15
14640,11345974.8,57.8166,4457407381,7,15
14670,11351301.5,57.8661,4397407381,6,15
14700,11356628.2,57.9155,4337407381,6,15
14730,11361954.9,57.965,4277407381,6,15
14760,11367281.6,58.0144,4217407381,6,15
14790,11372608.3,58.0639,4157407381,6,15
14820,11377935.0,58.1133,4097407381,6,15
14850,11387741.2,58.1574,4037407381,6,15
14880,11398394.6,58.2003,3977407381,5,15
14910,11409048.0,58.2433,3917407381,5,15
14940,11419701.4,58.2863,3857407381,5,15
14970,11430354.8,58.3293,3797407381,5,15
15000,11451661.6,58.4153,2514310677,5,15
15030,11504928.7,58.9382,2394310677,5,15
15060,11561497.1,59.4662,2269662379,5,15
15090,11625417.5,59.6178,2089662379,5,15
15120,11689338.0,59.7695,1909662379,5,15
15150,11732773.1,60.1816,1803505707,5,15
15180,11795854.3,60.3879,1669687339,4,15
15210,11849121.4,60.4915,1549687339,3,15
15240,11902388.4,60.5916,1429687339,3,15
15270,11926126.4,60.6693,1306264324,3,15
15300,11945884.4,60.7278,1205256225,3,15
15330,11969622.3,60.7992,1081833211,3,15
15360,11993360.3,60.868,958410196,3,15
15390,12017098.2,60.9343,834987182,3,15
15420,12040836.1,60.9984,711564167,3,15
15450,12064574.1,61.0605,588141152,3,15
15480,12088312.0,61.1208,464718138,3,15
15510,12106027.4,61.1715,375213989,3,15
15540,12120126.4,61.2172,306077844,3,15
15570,12133210.9,61.2615,242654829,2,15
15600,12146295.4,61.3057,179231815,2,15
15630,12159379.9,61.3498,115808800,2,15
15660,12172464.5,61.3938,52385786,2,15
15690,12174895.6,61.3947,48962771,1,15
15720,12177326.7,61.3955,45539756,1,15
15750,12179757.8,61.3963,42116742,1,15
15780,12179757.8,61.3963,42116742,1,15
15810,12179757.8,61.3963,42116742,1,15
15840,12179757.8,61.3963,42116742,1,15
15870,12179757.8,61.3963,42116742,1,15
15900,12179757.8,61.3963,42116742,1,15
15930,12179757.8,61.3963,42116742,1,15
15960,12179757.8,61.3963,42116742,1,15
15990,12179757.8,61.3963,42116742,1,15
16020,12179757.8,61.3963,42116742,1,15
16050,12179757.8,61.3963,42116742,1,15
16080,12179757.8,61.3963,42116742,1,15
16110,12179757.8,61.3963,42116742,1,15
16140,12179757.8,61.3963,42116742,1,15
16170,12179757.8,61.3963,42116742,1,15
16200,12179757.8,61.3963,42116742,1,15
