t_s,delivered_images,utility,backlog_bits,n_active
4080,3316324.0,15.4691,5304966734,16
4110,3355221.9,15.6265,5195430267,16
4140,3392153.4,15.7809,5091431033,16
4170,3428620.2,15.9335,4988740595,15
4200,3465087.0,16.0848,4886050158,15
4230,3501553.7,16.2348,4783359720,15
4260,3538020.5,16.3838,4680669282,15
4290,3574487.3,16.5318,4577978845,15
4320,3610954.1,16.6781,4475288407,15
4350,3647420.8,16.8228,4372597970,15
4380,3683297.3,16.9654,4271569798,15
4410,3717333.0,17.1048,4175725390,14
4440,3751368.6,17.2425,4079880981,14
4470,3785404.3,17.3786,3984036573,14
4500,3819439.9,17.5133,3888192164,14
4530,3853475.6,17.6467,3792347756,14
4560,3887511.3,17.7788,3696503347,14
4590,3919354.8,17.9054,3606831953,14
4620,3950959.3,18.0306,3517833574,13
4650,3982563.9,18.1548,3428835195,13
4680,4014168.4,18.2783,3339836816,13
4710,4045772.9,18.4011,3250838436,13
4740,4076801.8,18.5231,3163461265,13
4770,4105975.2,18.6444,3081308915,12
4800,4135148.6,18.7651,2999156565,12
4830,4164322.0,18.8855,2917004215,12
4860,4193495.4,19.0054,2834851865,12
4890,4222668.9,19.1249,2752699515,12
4920,4251842.3,19.2441,2670547165,12
4950,4279631.2,19.3624,2592293683,12
4980,4306373.5,19.4801,2516987362,11
5010,4333115.8,19.5976,2441681041,11
5040,4359419.2,19.7149,2367610652,11
5070,4383730.4,19.8313,2299150360,10
5100,4408041.5,19.9477,2230690069,10
5130,4431726.5,20.0639,2163993300,10
5160,4453606.5,20.1799,2102379038,9
5190,4475064.2,20.2911,2041954223,9
5220,4494513.2,20.3799,1987185989,8
5250,4513962.1,20.4681,1932417756,8
5280,4533411.1,20.5558,1877649523,8
5310,4550782.1,20.6289,1828732549,8
5340,4567800.0,20.6991,1780810345,7
5370,4584817.8,20.7689,1732888141,7
5400,4621259.2,20.9459,5969792577,15
5430,4655294.9,21.1192,5873948169,14
5460,4689330.6,21.2925,5778103760,14
5490,4723366.2,21.4658,5682259352,14
5520,4757401.9,21.6387,5586414943,14
5550,4791437.5,21.8109,5490570535,14
5580,4825473.2,21.9825,5394726127,14
5610,4859508.8,22.1534,5298881718,14
5640,4893544.5,22.3238,5203037310,14
5670,4927580.2,22.4937,5107192901,14
5700,4961615.8,22.6631,5011348493,14
5730,4995651.5,22.8311,4915504084,14
5760,5029687.1,22.9971,4819659676,14
5790,5063722.8,23.1614,4723815268,14
5820,5097758.4,23.324,4627970859,14
5850,5131794.1,23.4853,4532126451,14
5880,5165829.8,23.6452,4436282042,14
5910,5199865.4,23.804,4340437634,14
5940,5233901.1,23.9617,4244593225,14
5970,5267358.3,24.1163,4150377775,14
6000,5298962.8,24.2644,4061379396,13
6030,5330567.3,24.4116,3972381016,13
6060,5359947.1,24.5518,3889647731,13
6090,5389120.5,24.6899,3807495380,12
6120,5418293.9,24.8264,3725343030,12
6150,5447467.3,24.9616,3643190680,12
6180,5476640.7,25.0955,3561038330,12
6210,5505814.1,25.2282,3478885980,12
6240,5534987.6,25.36,3396733630,12
6270,5564161.0,25.4908,3314581280,12
6300,5593334.4,25.6208,3232428930,12
6330,5622507.8,25.7501,3150276580,12
6360,5651681.2,25.8787,3068124230,12
6390,5680854.7,26.0066,2985971880,12
6420,5710028.1,26.134,2903819530,12
6450,5739201.5,26.2609,2821667179,12
6480,5768140.5,26.3859,2740175115,12
6510,5794882.8,26.4974,2664868794,11
6540,5821625.1,26.6086,2589562473,11
6570,5848367.4,26.7194,2514256152,11
6600,5875109.7,26.8299,2438949832,11
6630,5901852.0,26.9401,2363643511,11
6660,5928594.3,27.05,2288337190,11
6690,5955336.6,27.1598,2213030869,11
6720,5982078.9,27.2693,2137724548,11
6750,6008821.2,27.3786,2062418227,11
6780,6035563.5,27.4878,1987111906,11
6810,6062305.8,27.5968,1911805585,11
6840,6089048.1,27.7057,1836499264,11
6870,6115790.4,27.8145,1761192943,11
6900,6142532.7,27.9231,1685886622,11
6930,6169275.0,28.0316,1610580302,11
6960,6196017.3,28.1401,1535273981,11
6990,6222759.6,28.2485,1459967660,11
7020,6249501.9,28.3568,1384661339,11
7050,6275342.5,28.465,1311894274,11
7080,6299653.6,28.5731,1243433982,10
7110,6321598.9,28.6808,1181636237,10
7140,6343478.9,28.7885,1120021975,9
7170,6365359.0,28.8963,1058407712,9
7200,6406024.7,29.1181,5375615354,17
7230,6444922.6,29.3398,5266078887,16
7260,6483820.5,29.5616,5156542420,16
7290,6522718.4,29.7833,5047005954,16
7320,6561616.3,30.0051,4937469487,16
7350,6600514.1,30.2266,4827933020,16
7380,6639000.1,30.4431,4719556540,16
7410,6675466.9,30.6409,4616866102,15
7440,6711933.7,30.8375,4514175665,15
7470,6748400.4,31.033,4411485227,15
7500,6784867.2,31.2276,4308794790,15
7530,6821334.0,31.4214,4206104352,15
7560,6857800.8,31.6144,4103413914,15
7590,6891860.8,31.7873,4007500900,15
7620,6925896.4,31.959,3911656491,14
7650,6959932.1,32.1295,3815812083,14
7680,6993814.6,32.298,3720398833,14
7710,7023222.0,32.4429,3637587849,13
7740,7052395.4,32.5865,3555435499,12
7770,7079667.3,32.7248,3478637675,12
7800,7104630.0,32.8591,3408342661,11
7830,7128941.2,32.9923,3339882369,10
7860,7153252.4,33.1253,3271422077,10
7890,7177563.6,33.258,3202961786,10
7920,7201874.8,33.3904,3134501494,10
7950,7226186.0,33.5227,3066041202,10
7980,7250497.1,33.6547,2997580910,10
8010,7273769.9,33.7797,2932044786,10
8040,7295650.0,33.8954,2870430523,9
8070,7317530.0,34.0109,2808816261,9
