t_s,delivered_images,utility,backlog_bits,n_active
0,19448.9,0.11,1033946534,8
30,38897.9,0.22,1020254475,8
60,58346.8,0.33,1006562417,8
90,77795.8,0.44,992870359,8
120,97244.7,0.55,979178300,8
150,116693.7,0.66,965486242,8
180,136142.6,0.7699,951794184,8
210,155591.6,0.8799,938102125,8
240,175040.5,0.9899,924410067,8
270,194489.5,1.0999,910718009,8
300,213938.4,1.2099,897025950,8
330,233387.4,1.3199,883333892,8
360,252836.3,1.4299,869641833,8
390,272285.3,1.5399,855949775,8
420,291734.2,1.6499,842257717,8
450,311183.1,1.7599,828565658,8
480,330632.1,1.8699,814873600,8
510,350081.0,1.9799,801181542,8
540,369530.0,2.0898,787489483,8
570,388978.9,2.1998,773797425,8
600,408427.9,2.3098,760105367,8
630,427876.8,2.4198,746413308,8
660,447325.8,2.5298,732721250,8
690,466774.7,2.6398,719029192,8
720,486223.7,2.7498,705337133,8
750,505672.6,2.8598,691645075,8
780,525121.6,2.9698,677953017,8
810,544570.5,3.0798,664260958,8
840,564019.4,3.1898,650568900,8
870,583468.4,3.2998,636876842,8
900,602917.3,3.4097,623184783,8
930,622366.3,3.5197,609492725,8
960,641815.2,3.6297,595800667,8
990,661264.2,3.7397,582108608,8
1020,680713.1,3.8497,568416550,8
1050,700162.1,3.9597,554724492,8
1080,719611.0,4.0697,541032433,8
1110,739060.0,4.1797,527340375,8
1140,758508.9,4.2897,513648316,8
1170,777957.9,4.3997,499956258,8
1200,797406.8,4.5097,486264200,8
1230,816855.8,4.6197,472572141,8
1260,836304.7,4.7296,458880083,8
1290,855753.6,4.8396,445188025,8
1320,875202.6,4.9496,431495966,8
1350,894651.5,5.0596,417803908,8
1380,914100.5,5.1696,404111850,8
1410,933549.4,5.2796,390419791,8
1440,949498.0,5.3544,379192009,8
1470,961653.6,5.3975,370634473,5
1500,973809.2,5.4406,362076936,5
1530,985964.8,5.4838,353519400,5
1560,998120.4,5.5269,344961863,5
1590,1010275.9,5.57,336404327,5
1620,1022431.5,5.6131,327846790,5
1650,1034587.1,5.6562,319289254,5
1680,1046742.7,5.6993,310731717,5
1710,1058898.3,5.7425,302174181,5
1740,1071053.9,5.7856,293616644,5
1770,1083209.5,5.8287,285059108,5
1800,1114814.0,5.9363,1638505065,13
1830,1146418.6,6.0439,1616255470,13
1860,1178023.1,6.1514,1594005876,13
1890,1209627.6,6.259,1571756281,13
1920,1241232.2,6.3666,1549506686,13
1950,1272836.7,6.4742,1527257091,13
1980,1304441.3,6.5818,1505007496,13
2010,1336045.8,6.6891,1482757901,13
2040,1367650.3,6.7957,1460508307,13
2070,1399254.9,6.9017,1438258712,13
2100,1430859.4,7.0071,1416009117,13
2130,1461582.4,7.1099,1394380111,13
2160,1490755.9,7.2087,1373842024,12
2190,1519929.3,7.307,1353303936,12
2220,1549102.7,7.405,1332765849,12
2250,1578276.1,7.5026,1312227761,12
2280,1607449.5,7.5998,1291689674,12
2310,1634771.7,7.6888,1272454851,12
2340,1661514.0,7.7751,1253628271,11
2370,1688256.3,7.8611,1234801691,11
2400,1714998.6,7.9469,1215975110,11
2430,1741740.9,8.0325,1197148530,11
2460,1768483.2,8.1179,1178321950,11
