t_s,delivered_images,utility,backlog_bits,n_active
0,19448.9,0.1493,2067893067,8
30,38897.9,0.2986,2040508951,8
60,58346.8,0.4479,2013124834,8
90,77795.8,0.5972,1985740717,8
120,97244.7,0.7465,1958356601,8
150,116693.7,0.8958,1930972484,8
180,136142.6,1.0451,1903588367,8
210,155591.6,1.1944,1876204250,8
240,175040.5,1.3437,1848820134,8
270,194489.5,1.493,1821436017,8
300,213938.4,1.6423,1794051900,8
330,233387.4,1.7916,1766667784,8
360,252836.3,1.9409,1739283667,8
390,272285.3,2.0902,1711899550,8
420,291734.2,2.2395,1684515434,8
450,311183.1,2.3888,1657131317,8
480,330632.1,2.5381,1629747200,8
510,350081.0,2.6874,1602363084,8
540,369530.0,2.8367,1574978967,8
570,388978.9,2.986,1547594850,8
600,408427.9,3.1353,1520210733,8
630,427876.8,3.2846,1492826617,8
660,447325.8,3.4339,1465442500,8
690,466774.7,3.5832,1438058383,8
720,486223.7,3.7324,1410674267,8
750,505672.6,3.8817,1383290150,8
780,525121.6,4.031,1355906033,8
810,544570.5,4.1803,1328521917,8
840,564019.4,4.3296,1301137800,8
870,583468.4,4.4789,1273753683,8
900,602917.3,4.6282,1246369566,8
930,622366.3,4.7775,1218985450,8
960,641815.2,4.9268,1191601333,8
990,661264.2,5.0761,1164217216,8
1020,680713.1,5.2254,1136833100,8
1050,700162.1,5.3747,1109448983,8
1080,719611.0,5.524,1082064866,8
1110,739060.0,5.6733,1054680750,8
1140,758508.9,5.8226,1027296633,8
1170,777957.9,5.9719,999912516,8
1200,797406.8,6.1212,972528400,8
1230,816855.8,6.2705,945144283,8
1260,836304.7,6.4198,917760166,8
1290,855753.6,6.5691,890376049,8
1320,875202.6,6.7184,862991933,8
1350,894651.5,6.8677,835607816,8
1380,914100.5,7.017,808223699,8
1410,933549.4,7.1663,780839583,8
1440,949498.0,7.2678,758384018,8
1470,961653.6,7.3263,741268945,5
1500,973809.2,7.3849,724153872,5
1530,985964.8,7.4434,707038799,5
1560,998120.4,7.5019,689923727,5
1590,1010275.9,7.5604,672808654,5
1620,1022431.5,7.619,655693581,5
1650,1034587.1,7.6775,638578508,5
1680,1046742.7,7.736,621463435,5
1710,1058898.3,7.7946,604348362,5
1740,1071053.9,7.8531,587233289,5
1770,1083209.5,7.9116,570118216,5
1800,1114814.0,8.0576,3277010130,13
1830,1146418.6,8.2037,3232510941,13
1860,1178023.1,8.3497,3188011751,13
1890,1209627.6,8.4957,3143512561,13
1920,1241232.2,8.6417,3099013372,13
1950,1272836.7,8.7878,3054514182,13
1980,1304441.3,8.9338,3010014993,13
2010,1336045.8,9.0795,2965515803,13
2040,1367650.3,9.2242,2921016613,13
2070,1399254.9,9.368,2876517424,13
2100,1430859.4,9.5111,2832018234,13
2130,1461582.4,9.6507,2788760223,13
2160,1490755.9,9.7848,2747684048,12
2190,1519929.3,9.9182,2706607873,12
2220,1549102.7,10.0512,2665531698,12
2250,1578276.1,10.1836,2624455523,12
2280,1607449.5,10.3157,2583379348,12
2310,1634771.7,10.4365,2544909702,12
2340,1661514.0,10.5535,2507256542,11
2370,1688256.3,10.6703,2469603381,11
2400,1714998.6,10.7867,2431950221,11
2430,1741740.9,10.9029,2394297060,11
2460,1768483.2,11.0189,2356643900,11
2490,1795225.5,11.1346,2318990740,11
2520,1821967.8,11.2502,2281337579,11
2550,1848710.1,11.3655,2243684419,11
2580,1875452.4,11.4807,2206031258,11
2610,1902194.7,11.5958,2168378098,11
2640,1928937.0,11.7107,2130724937,11
2670,1955679.3,11.8256,2093071777,11
2700,1982421.6,11.9394,2055418616,11
2730,2009163.9,12.0522,2017765456,11
2760,2035906.2,12.1642,1980112295,11
2790,2062648.5,12.2754,1942459135,11
2820,2089390.8,12.3858,1904805975,11
2850,2116133.1,12.4957,1867152814,11
2880,2142875.5,12.6049,1829499654,11
2910,2169617.8,12.7137,1791846493,11
2940,2196360.1,12.8219,1754193333,11
2970,2223102.4,12.9297,1716540172,11
3000,2249844.7,13.0372,1678887012,11
3030,2275763.9,13.1388,1642392731,11
3060,2300075.1,13.2293,1608162585,10
3090,2324386.3,13.3195,1573932439,10
3120,2348697.4,13.4095,1539702294,10
3150,2372523.1,13.4992,1506155790,10
