t_s,delivered_images,utility,backlog_bits,n_active
4110,3136095.2,29.6711,14704292333,16
4140,3163132.4,29.8809,14469524100,16
4170,3186870.3,30.0381,14234755867,15
4200,3210431.8,30.2168,13999987633,15
4230,3237816.4,30.4344,13765219400,15
4260,3260338.8,30.6109,13530451166,15
4290,3288187.9,30.8764,13295682933,15
4320,3315285.9,31.0214,13060914700,15
4350,3340239.4,31.2489,12826146466,15
4380,3368088.5,31.4275,12591378233,15
4410,3395937.6,31.6416,12356609999,14
4440,3442375.7,31.853,12121841766,14
4470,3470224.8,32.0975,11887073533,14
4500,3502185.0,32.2944,11652305299,14
4530,3529600.7,32.5353,11417537066,14
4560,3557449.8,32.7714,11182768833,14
4590,3582403.3,33.0205,10948000599,14
4620,3611467.9,33.2195,10713232366,14
4650,3643428.2,33.3676,10478464132,14
4680,3672492.8,33.5719,10243695899,14
4710,3701557.5,33.7693,10008927666,14
4740,3730622.1,33.9688,9774159432,14
4770,3754360.0,34.2355,9539391199,13
4800,3778098.0,34.4966,9304622965,13
4830,3801835.9,34.7239,9069854732,13
4860,3848134.7,34.9408,8835086499,13
4890,3877199.3,35.1088,8600318265,12
4920,3906264.0,35.3187,8365550032,12
4950,3942842.3,35.6228,8130781798,12
4980,3966580.2,35.8755,7896013565,11
5010,4006298.3,36.1617,7661245332,11
5040,4030475.1,36.4615,7426477098,11
5070,4056644.2,36.8182,7191708865,10
5100,4082813.2,37.0962,6956940632,10
5130,4108356.0,37.3739,6729226492,10
5160,4137420.7,37.5934,6521842375,9
5190,4173714.8,37.9217,6314458258,9
5220,4199883.8,38.2313,6107074142,9
5250,4269595.5,38.5247,5899690025,9
5280,4293333.4,38.8509,5692305908,9
5310,4317071.3,39.1837,5484921792,9
5340,4347228.9,39.4999,5277537675,9
5370,4376293.6,39.7733,5070153558,9
5400,4423769.4,40.1124,17444133741,17
5430,4449938.5,40.4529,17209365508,16
5460,4481577.6,40.7976,16974597274,16
5490,4540659.1,41.1519,16739829041,16
5520,4568043.7,41.4538,16505060807,16
5550,4590101.6,41.7483,16270292574,16
5580,4613744.9,42.0564,16035524341,16
5610,4651782.9,42.3383,15800756107,16
5640,4695147.6,42.7134,15565987874,16
5670,4722532.2,43.0537,15331219640,16
5700,4761183.2,43.365,15096451407,16
5730,4788567.8,43.6817,14861683174,16
5760,4849237.0,44.045,14626914940,16
5790,4897388.9,44.4366,14392146707,16
5820,4931796.5,44.7155,14157378473,16
5850,4960287.9,45.0175,13922610240,16
5880,4982345.8,45.2594,13687842007,16
5910,5009873.7,45.5311,13453073773,16
5940,5033755.0,45.8006,13218305540,16
5970,5057347.0,46.1268,12983537307,16
6000,5090666.1,46.4219,12748769073,15
6030,5117551.7,46.6538,12514000840,15
6060,5141433.0,46.9359,12279232606,15
6090,5165314.2,47.1978,12044464373,15
6120,5203352.2,47.4905,11809696140,15
6150,5227233.5,47.7722,11574927906,15
6180,5256441.4,48.0386,11340159673,15
6210,5285649.4,48.3037,11105391439,15
6240,5329598.8,48.6305,10870623206,14
6270,5358806.7,48.8891,10635854973,13
6300,5382688.0,49.208,10401086739,13
6330,5411895.9,49.4906,10166318506,12
6360,5435777.2,49.718,9931550273,12
6390,5464508.2,49.9948,9696782039,12
6420,5493716.2,50.274,9462013806,12
6450,5537080.9,50.5776,9227245572,12
6480,5560962.2,50.8173,8992477339,12
6510,5584843.4,51.0731,8757709106,12
6540,5608724.7,51.2843,8522940872,12
6570,5634425.0,51.5346,8288172639,12
6600,5663632.9,51.7821,8053404405,12
6630,5724801.1,52.0216,7818636172,12
6660,5748682.3,52.2745,7583867939,12
6690,5776697.2,52.5573,7349099705,12
6720,5800578.4,52.8101,7114331472,12
6750,5842446.1,53.1234,6879563238,11
6780,5866327.4,53.4019,6644795005,11
6810,5908471.4,53.6948,6410026772,11
6840,5937679.3,53.9662,6175258538,11
6870,5966887.3,54.2814,5940490305,11
6900,5999729.0,54.5822,5705722072,11
6930,6037767.0,54.8409,5470953838,11
6960,6068333.8,55.1386,5236185605,11
6990,6106562.6,55.3983,5001417371,11
7020,6136891.1,55.6935,4767184137,11
7050,6162288.2,55.9643,4547916714,11
7080,6186920.5,56.1903,4328649291,10
7110,6223343.7,56.4539,4136032054,10
7140,6245544.9,56.679,3944148748,9
7170,6267746.1,56.9041,3752265442,9
7200,6291627.4,57.2296,17186248568,17
7230,6312504.3,57.5868,16951480335,17
7260,6352973.4,57.9119,16716712101,17
7290,6375960.2,58.147,16481943868,17
7320,6400982.8,58.4211,16247175635,17
7350,6424256.3,58.7866,16012407401,17
7380,6447707.6,59.0735,15777639168,17
7410,6468693.2,59.3981,15542870934,17
7440,6516455.7,59.7325,15308102701,17
7470,6547101.8,60.0632,15073334468,17
7500,6573524.5,60.3109,14838566234,17
7530,6594366.8,60.6261,14603798001,16
7560,6629010.2,60.9342,14369029767,16
7590,6651979.8,61.1731,14134261534,16
7620,6693165.5,61.4832,13899493301,16
7650,6719603.9,61.8439,13664725067,16
7680,6758553.6,62.1446,13429956834,16
7710,6786546.0,62.3329,13195188601,15
7740,6814538.4,62.6433,12960420367,15
7770,6852147.2,62.9191,12725652134,15
7800,6878913.7,63.1628,12490883900,15
7830,6899756.0,63.4587,12256115667,14
