gs,sat,start_s,end_s,duration_s
Tokyo,118,10980,11280,300
Tokyo,119,4740,4980,240
Tokyo,119,10770,11100,330
Tokyo,120,4560,4800,240
Tokyo,120,10590,10920,330
Tokyo,121,4380,4590,210
Tokyo,121,10410,10740,330
Tokyo,122,4230,4410,180
Tokyo,122,10230,10590,360
Tokyo,123,4050,4230,180
Tokyo,123,10050,10410,360
Tokyo,124,3870,4050,180
Tokyo,124,9870,10230,360
Tokyo,125,3690,3840,150
Tokyo,125,9690,10050,360
Tokyo,126,3540,3660,120
Tokyo,126,9510,9870,360
Tokyo,127,3360,3480,120
Tokyo,127,9330,9690,360
Tokyo,128,3180,3270,90
Tokyo,128,9150,9510,360
Tokyo,129,3030,3090,60
Tokyo,129,9000,9330,330
Tokyo,130,2880,2880,0
Tokyo,130,8820,9150,330
Tokyo,131,8640,8970,330
Tokyo,132,8460,8790,330
Tokyo,133,8280,8610,330
Tokyo,134,8100,8430,330
Tokyo,135,7920,8250,330
Tokyo,136,7650,7920,270
Tokyo,136,13710,14010,300
Tokyo,137,7470,7740,270
Tokyo,137,13530,13830,300
Tokyo,138,7320,7530,210
Tokyo,138,13350,13680,330
Tokyo,139,7140,7350,210
Tokyo,139,13170,13500,330
Tokyo,140,6960,7170,210
Tokyo,140,12990,13320,330
Tokyo,141,6780,6990,210
Tokyo,141,12810,13140,330
Tokyo,142,6600,6810,210
Tokyo,142,12630,12960,330
Tokyo,143,6450,6600,150
Tokyo,143,12450,12780,330
Tokyo,144,6270,6420,150
Tokyo,144,12270,12600,330
Tokyo,145,6090,6240,150
Tokyo,145,12090,12450,360
Tokyo,146,5910,6030,120
Tokyo,146,11910,12270,360
Tokyo,147,5760,5850,90
Tokyo,147,11730,12090,360
Tokyo,148,5580,5640,60
Tokyo,148,11550,11910,360
Tokyo,149,5430,5460,30
Tokyo,149,11370,11730,360
Tokyo,150,11190,11550,360
Tokyo,151,11010,11370,360
Tokyo,152,10830,11190,360
Tokyo,153,10650,11010,360
Tokyo,154,10470,10830,360
Tokyo,155,10320,10650,330
Tokyo,156,10140,10470,330
Tokyo,157,9960,10290,330
Tokyo,157,16170,16170,0
