t_s,delivered_images,utility,backlog_bits,n_active
0,19448.9,0.19,4135786135,8
30,38897.9,0.38,4081017901,8
60,58346.8,0.57,4026249668,8
90,77795.8,0.7601,3971481434,8
120,97244.7,0.9501,3916713201,8
150,116693.7,1.1401,3861944968,8
180,136142.6,1.3301,3807176734,8
210,155591.6,1.5201,3752408501,8
240,175040.5,1.7101,3697640268,8
270,194489.5,1.9002,3642872034,8
300,213938.4,2.0902,3588103801,8
330,233387.4,2.2802,3533335567,8
360,252836.3,2.4702,3478567334,8
390,272285.3,2.6602,3423799101,8
420,291734.2,2.8502,3369030867,8
450,311183.1,3.0402,3314262634,8
480,330632.1,3.2303,3259494400,8
510,350081.0,3.4203,3204726167,8
540,369530.0,3.6103,3149957934,8
570,388978.9,3.8003,3095189700,8
600,408427.9,3.9903,3040421467,8
630,427876.8,4.1803,2985653233,8
660,447325.8,4.3704,2930885000,8
690,466774.7,4.5604,2876116767,8
720,486223.7,4.7504,2821348533,8
750,505672.6,4.9404,2766580300,8
780,525121.6,5.1304,2711812067,8
810,544570.5,5.3204,2657043833,8
840,564019.4,5.5105,2602275600,8
870,583468.4,5.7005,2547507366,8
900,602917.3,5.8905,2492739133,8
930,622366.3,6.0805,2437970900,8
960,641815.2,6.2705,2383202666,8
990,661264.2,6.4605,2328434433,8
1020,680713.1,6.6505,2273666199,8
1050,700162.1,6.8406,2218897966,8
1080,719611.0,7.0306,2164129733,8
1110,739060.0,7.2206,2109361499,8
1140,758508.9,7.4106,2054593266,8
1170,777957.9,7.6006,1999825033,8
1200,797406.8,7.7906,1945056799,8
1230,816855.8,7.9807,1890288566,8
1260,836304.7,8.1707,1835520332,8
1290,855753.6,8.3607,1780752099,8
1320,875202.6,8.5507,1725983866,8
1350,894651.5,8.7407,1671215632,8
1380,914100.5,8.9307,1616447399,8
1410,933549.4,9.1207,1561679165,8
1440,949498.0,9.2499,1516768037,8
1470,961653.6,9.3244,1482537891,5
1500,973809.2,9.3989,1448307745,5
1530,985964.8,9.4734,1414077599,5
1560,998120.4,9.5479,1379847453,5
1590,1010275.9,9.6224,1345617307,5
1620,1022431.5,9.6969,1311387161,5
1650,1034587.1,9.7714,1277157015,5
1680,1046742.7,9.8459,1242926870,5
1710,1058898.3,9.9203,1208696724,5
1740,1071053.9,9.9948,1174466578,5
1770,1083209.5,10.0693,1140236432,5
1800,1114814.0,10.2552,6554020261,13
1830,1146418.6,10.441,6465021881,13
1860,1178023.1,10.6269,6376023502,13
1890,1209627.6,10.8127,6287025123,13
1920,1241232.2,10.9986,6198026744,13
1950,1272836.7,11.1844,6109028364,13
1980,1304441.3,11.3703,6020029985,13
2010,1336045.8,11.5557,5931031606,13
2040,1367650.3,11.7399,5842033227,13
2070,1399254.9,11.923,5753034847,13
2100,1430859.4,12.1051,5664036468,13
2130,1461582.4,12.2827,5577520445,13
2160,1490755.9,12.4533,5495368095,12
2190,1519929.3,12.6232,5413215745,12
2220,1549102.7,12.7924,5331063395,12
2250,1578276.1,12.961,5248911045,12
2280,1607449.5,13.129,5166758695,12
2310,1634771.7,13.2828,5089819404,12
2340,1661514.0,13.4318,5014513084,11
2370,1688256.3,13.5804,4939206763,11
2400,1714998.6,13.7286,4863900442,11
2430,1741740.9,13.8764,4788594121,11
2460,1768483.2,14.024,4713287800,11
2490,1795225.5,14.1713,4637981479,11
2520,1821967.8,14.3184,4562675158,11
2550,1848710.1,14.4652,4487368837,11
2580,1875452.4,14.6118,4412062516,11
2610,1902194.7,14.7583,4336756195,11
2640,1928937.0,14.9046,4261449874,11
2670,1955679.3,15.0507,4186143554,11
2700,1982421.6,15.1956,4110837233,11
2730,2009163.9,15.3392,4035530912,11
2760,2035906.2,15.4817,3960224591,11
2790,2062648.5,15.6232,3884918270,11
2820,2089390.8,15.7638,3809611949,11
2850,2116133.1,15.9036,3734305628,11
2880,2142875.5,16.0426,3658999307,11
2910,2169617.8,16.181,3583692986,11
2940,2196360.1,16.3188,3508386665,11
2970,2223102.4,16.456,3433080344,11
3000,2249844.7,16.5928,3357774024,11
3030,2275763.9,16.722,3284785462,11
3060,2300075.1,16.8373,3216325171,10
3090,2324386.3,16.9521,3147864879,10
3120,2348697.4,17.0666,3079404587,10
3150,2372523.1,17.1808,3012311580,10
3180,2394403.1,17.2945,2950697317,9
3210,2416283.2,17.408,2889083055,9
3240,2438163.3,17.5212,2827468792,9
3270,2460043.3,17.6343,2765854530,9
3300,2480019.3,17.746,2709602305,9
3330,2499468.2,17.8574,2654834072,8
3360,2518917.2,17.9687,2600065838,8
3390,2538366.1,18.0801,2545297605,8
3420,2557815.1,18.1915,2490529372,8
3450,2577264.0,18.3028,2435761138,8
3480,2596713.0,18.4142,2380992905,8
3510,2616161.9,18.5255,2326224672,8
3540,2635610.8,18.6369,2271456438,8
3570,2655059.8,18.7483,2216688205,8
3600,2693957.7,19.0213,7057550202,16
3630,2732855.6,19.2944,6948013735,16
3660,2771753.5,19.5674,6838477268,16
3690,2810651.4,19.84,6728940802,16
3720,2849549.3,20.109,6619404335,16
3750,2888447.1,20.3744,6509867868,16
3780,2927345.0,20.6359,6400331401,16
3810,2966242.9,20.8941,6290794935,16
3840,3005140.8,21.1492,6181258468,16
3870,3044038.7,21.4015,6071722001,16
3900,3082936.6,21.6512,5962185534,16
3930,3121834.5,21.8987,5852649067,16
3960,3160732.4,22.1441,5743112601,16
3990,3199630.3,22.3876,5633576134,16
4020,3238528.2,22.6294,5524039667,16
4050,3277426.1,22.8697,5414503200,16
4080,3316324.0,23.1079,5304966734,16
4110,3355221.9,23.3431,5195430267,16
4140,3392153.4,23.5737,5091431033,16
4170,3428620.2,23.8017,4988740595,15
4200,3465087.0,24.0276,4886050158,15
4230,3501553.7,24.2518,4783359720,15
4260,3538020.5,24.4743,4680669282,15
4290,3574487.3,24.6953,4577978845,15
4320,3610954.1,24.9139,4475288407,15
4350,3647420.8,25.1301,4372597970,15
4380,3683297.3,25.3431,4271569798,15
4410,3717333.0,25.5514,4175725390,14
4440,3751368.6,25.7571,4079880981,14
4470,3785404.3,25.9604,3984036573,14
4500,3819439.9,26.1615,3888192164,14
4530,3853475.6,26.3608,3792347756,14
4560,3887511.3,26.5582,3696503347,14
4590,3919354.8,26.7473,3606831953,14
4620,3950959.3,26.9343,3517833574,13
4650,3982563.9,27.1199,3428835195,13
4680,4014168.4,27.3043,3339836816,13
4710,4045772.9,27.4877,3250838436,13
4740,4076801.8,27.67,3163461265,13
4770,4105975.2,27.8512,3081308915,12
4800,4135148.6,28.0316,2999156565,12
4830,4164322.0,28.2113,2917004215,12
4860,4193495.4,28.3904,2834851865,12
4890,4222668.9,28.569,2752699515,12
4920,4251842.3,28.747,2670547165,12
4950,4279631.2,28.9238,2592293683,12
4980,4306373.5,29.0996,2516987362,11
5010,4333115.8,29.2752,2441681041,11
5040,4359419.2,29.4503,2367610652,11
5070,4383730.4,29.6242,2299150360,10
5100,4408041.5,29.7981,2230690069,10
5130,4431726.5,29.9718,2163993300,10
5160,4453606.5,30.145,2102379038,9
5190,4475064.2,30.311,2041954223,9
5220,4494513.2,30.4438,1987185989,8
5250,4513962.1,30.5756,1932417756,8
5280,4533411.1,30.7065,1877649523,8
5310,4550782.1,30.8157,1828732549,8
5340,4567800.0,30.9206,1780810345,7
5370,4584817.8,31.0248,1732888141,7
5400,4621259.2,31.2892,5969792577,15
5430,4655294.9,31.548,5873948169,14
5460,4689330.6,31.8069,5778103760,14
5490,4723366.2,32.0658,5682259352,14
5520,4757401.9,32.3241,5586414943,14
