t_s,delivered_images,utility,backlog_bits,n_active
4110,3284422.5,27.8279,10789602835,16
4140,3319387.0,28.1033,10592682252,16
4170,3354351.6,28.3811,10395761668,15
4200,3389316.2,28.6565,10198841085,15
4230,3424280.8,28.9297,10001920501,15
4260,3459245.4,29.2009,9804999918,15
4290,3494210.0,29.4703,9608079334,15
4320,3529174.6,29.7368,9411158751,15
4350,3564139.2,30.0003,9214238167,15
4380,3598513.5,30.26,9020642116,15
4410,3631047.0,30.5139,8837413591,14
4440,3663580.4,30.7646,8654185066,14
4470,3696113.9,31.0125,8470956541,14
4500,3728647.4,31.2578,8287728016,14
4530,3761180.9,31.5007,8104499490,14
4560,3793714.3,31.7415,7921270965,14
4590,3824055.7,31.9721,7750388469,14
4620,3854158.0,32.2001,7580852002,13
4650,3884260.4,32.4265,7411315535,13
4680,3914362.8,32.6515,7241779068,13
4710,3944465.1,32.8752,7072242602,13
4740,3973991.7,33.0976,6905948551,13
4770,4001663.0,33.3186,6750104143,12
4800,4029334.2,33.5387,6594259734,12
4830,4057005.5,33.7579,6438415326,12
4860,4084676.7,33.9764,6282570918,12
4890,4112347.9,34.1942,6126726509,12
4920,4140019.2,34.4115,5970882101,12
4950,4166305.9,34.6271,5822835429,12
4980,4191546.0,34.8416,5680683079,11
5010,4216786.1,35.0529,5538530729,11
5040,4242026.2,35.2611,5396378379,11
5070,4267266.3,35.4762,5254226029,10
5100,4292506.5,35.6913,5112073679,10
5130,4317120.3,35.9061,4973448375,10
5160,4339929.3,36.1205,4844988084,9
5190,4362315.9,36.326,4718906687,9
5220,4382693.8,36.4912,4604138453,8
5250,4403071.7,36.6551,4489370220,8
5280,4423449.6,36.818,4374601986,8
5310,4443827.5,36.9634,4259833753,8
5340,4464205.4,37.1052,4145065520,7
5370,4484583.2,37.2461,4030297286,7
5400,4517116.7,37.5068,12526115929,15
5430,4549650.2,37.7712,12342887404,14
5460,4582183.7,38.0356,12159658879,14
5490,4614717.1,38.3,11976430354,14
5520,4647250.6,38.5637,11793201829,14
5550,4679784.1,38.8261,11609973304,14
5580,4712317.6,39.0873,11426744778,14
5610,4744851.0,39.3474,11243516253,14
5640,4777384.5,39.6065,11060287728,14
5670,4809918.0,39.8647,10877059203,14
5700,4842451.5,40.1221,10693830678,14
5730,4874984.9,40.3768,10510602153,14
5760,4907518.4,40.628,10327373628,14
5790,4940051.9,40.876,10144145103,14
5820,4972585.3,41.1211,9960916578,14
5850,5005118.8,41.3636,9777688052,14
5880,5037652.3,41.6038,9594459527,14
5910,5070185.8,41.8419,9411231002,14
5940,5102719.2,42.0785,9228002477,14
5970,5135252.7,42.3121,9044773952,14
6000,5167786.2,42.5419,8861545427,13
6030,5200319.7,42.7702,8678316902,13
6060,5232853.1,42.9954,8495088377,13
6090,5265386.6,43.2176,8311859851,12
6120,5297920.1,43.4488,8128631326,12
6150,5330453.6,43.748,7945402801,12
6180,5362987.0,44.045,7762174276,12
6210,5395520.5,44.3399,7578945751,12
6240,5428054.0,44.633,7395717226,12
6270,5460587.5,44.9244,7212488701,12
6300,5493120.9,45.2143,7029260176,12
6330,5525654.4,45.5029,6846031650,12
6360,5558187.9,45.7902,6662803125,12
6390,5590721.4,46.0763,6479574600,12
6420,5623254.8,46.3615,6296346075,12
6450,5655788.3,46.6359,6113117550,12
6480,5688087.3,46.903,5931209596,12
6510,5718189.7,47.1455,5761673130,11
6540,5748292.0,47.3873,5592136663,11
6570,5778394.4,47.6285,5422600196,11
6600,5808496.7,47.8692,5253063729,11
6630,5838599.1,48.1093,5083527263,11
6660,5868701.4,48.349,4913990796,11
6690,5898803.8,48.5883,4744454329,11
6720,5928906.1,48.8273,4574917862,11
6750,5959008.5,49.0658,4405381396,11
6780,5989110.9,49.3041,4235844929,11
6810,6019213.2,49.5421,4066308462,11
6840,6049315.6,49.7799,3896771995,11
6870,6079417.9,50.0174,3727235528,11
6900,6109520.3,50.2547,3557699062,11
6930,6139622.6,50.4918,3388162595,11
6960,6169725.0,50.7288,3218626128,11
6990,6199827.3,50.9656,3049089661,11
7020,6229929.7,51.2023,2879553195,11
7050,6259130.3,51.4388,2715095240,11
7080,6286801.6,51.6752,2559250832,10
7110,6312106.8,51.9108,2416731516,10
7140,6337347.0,52.1465,2274579166,9
7170,6362587.1,52.3821,2132426816,9
7200,6398480.6,52.7346,10793718946,17
7230,6434284.1,53.1011,10592073867,16
7260,6469248.7,53.4534,10395153283,16
7290,6504213.3,53.8177,10198232700,16
7320,6539177.8,54.1821,10001312116,16
7350,6574142.4,54.546,9804391533,16
7380,6608695.1,54.9009,9609790922,16
7410,6641228.6,55.2218,9426562397,15
7440,6673762.0,55.5406,9243333872,15
7470,6706295.5,55.8574,9060105347,15
7500,6738829.0,56.1726,8876876822,15
7530,6771362.5,56.4862,8693648297,15
7560,6803895.9,56.7984,8510419772,15
7590,6836429.4,57.1222,8327191247,15
