kid,depth,delivered_images,delivery_fraction,utility
0,4,117850.0,1.0,2.1
1,4,187776.0,1.0,1.4
2,4,117189.0,1.0,2.1
3,4,118835.0,1.0,1.4
4,4,247151.0,1.0,2.1
5,4,257213.0,1.0,1.0183
6,4,267950.0,1.0,1.2483
7,4,174159.0,1.0,0.7
8,4,256314.0,1.0,1.2284
9,4,264553.0,1.0,1.223
10,4,190092.0,1.0,0.6474
11,4,210917.0,1.0,1.7511
12,4,271659.0,1.0,1.6127
13,4,226333.0,1.0,0.7
14,4,240105.0,1.0,1.0387
15,4,294140.0,1.0,1.3718
16,4,235584.0,1.0,2.1
17,4,138927.0,1.0,1.4
18,4,199558.0,1.0,0.7
19,4,130858.0,1.0,2.1
20,4,284506.0,1.0,1.6369
21,4,293502.0,1.0,1.0306
22,4,281108.0,1.0,0.896
23,4,193911.0,1.0,2.0208
24,4,192588.0,1.0,0.7
25,4,195141.0,1.0,0.6821
26,4,212900.0,1.0,2.1
27,4,187430.0,1.0,0.7
28,4,225953.0,1.0,1.6879
29,4,162473.0,1.0,2.1
30,4,187043.0,1.0,2.1
31,4,177496.0,1.0,2.1
32,4,147911.0,1.0,2.1
33,4,127950.0,1.0,2.1
34,4,260980.0,1.0,0.7
35,4,257385.0,1.0,2.0662
36,4,194313.0,1.0,2.0832
37,4,256146.0,1.0,1.268
38,4,201121.0,1.0,1.1932
39,4,127959.0,1.0,0.7
40,4,187923.0,1.0,2.1
41,4,194219.0,1.0,2.1
42,4,115839.0,1.0,2.1
43,4,226944.0,1.0,1.3996
44,4,118113.0,1.0,1.4
45,4,160790.0,1.0,1.3791
46,4,169500.0,1.0,1.4
47,4,142917.0,1.0,0.7
48,4,298534.0,1.0,1.2236
49,4,146788.0,1.0,2.1
50,4,271135.0,1.0,0.7
51,4,158719.0,1.0,1.4
52,4,125256.0,1.0,1.4
53,4,256780.0,1.0,2.0681
54,4,181837.0,1.0,1.4
55,4,262804.0,1.0,0.5135
56,4,166858.0,1.0,0.6963
57,4,118009.0,1.0,2.1
58,4,239354.0,1.0,1.4
59,4,132254.0,1.0,2.1
60,4,287611.0,1.0,0.5845
61,4,239264.0,1.0,1.3272
62,4,133242.0,1.0,1.4
63,4,160302.0,1.0,2.1
